logger_ID,fold
8,1
9,1
21,1
22,1
34,1
39,1
44,1
52,1
107,1
156,1
157,1
165,1
170,1
174,1
214,1
218,1
252,1
255,1
268,1
271,1
277,1
292,1
305,1
307,1
311,1
313,1
316,1
326,1
328,1
364,1
368,1
369,1
390,1
398,1
401,1
402,1
419,1
421,1
425,1
470,1
471,1
497,1
507,1
521,1
559,1
568,1
595,1
599,1
608,1
648,1
654,1
656,1
668,1
673,1
695,1
726,1
731,1
765,1
767,1
777,1
787,1
791,1
819,1
828,1
835,1
865,1
871,1
906,1
910,1
915,1
935,1
938,1
949,1
956,1
960,1
970,1
959,1
127,1
168,1
457,1
199,1
187,1
115,1
41,1
807,1
97,1
908,1
880,1
379,1
84,1
10,2
25,2
26,2
64,2
122,2
149,2
155,2
186,2
188,2
190,2
197,2
209,2
215,2
228,2
253,2
260,2
276,2
286,2
302,2
314,2
324,2
330,2
337,2
340,2
342,2
351,2
360,2
377,2
382,2
388,2
389,2
394,2
397,2
399,2
412,2
414,2
430,2
435,2
473,2
485,2
486,2
513,2
525,2
540,2
545,2
547,2
550,2
554,2
565,2
611,2
621,2
636,2
639,2
658,2
659,2
660,2
661,2
684,2
692,2
696,2
718,2
727,2
737,2
751,2
762,2
785,2
799,2
816,2
848,2
889,2
916,2
917,2
952,2
971,2
404,2
821,2
542,2
689,2
166,2
23,2
191,2
222,2
58,2
196,2
116,2
133,2
447,2
892,2
458,2
822,2
27,3
37,3
73,3
75,3
85,3
104,3
108,3
111,3
112,3
118,3
141,3
160,3
216,3
223,3
229,3
230,3
236,3
238,3
263,3
270,3
285,3
306,3
333,3
343,3
344,3
357,3
365,3
376,3
431,3
436,3
464,3
479,3
498,3
502,3
527,3
537,3
539,3
552,3
567,3
589,3
602,3
606,3
609,3
624,3
628,3
640,3
649,3
655,3
657,3
666,3
672,3
677,3
713,3
715,3
716,3
730,3
738,3
739,3
742,3
748,3
752,3
755,3
756,3
760,3
771,3
775,3
782,3
801,3
876,3
878,3
894,3
912,3
942,3
947,3
953,3
962,3
964,3
669,3
630,3
789,3
93,3
207,3
99,3
930,3
855,3
119,3
830,3
682,3
813,3
898,3
32,4
35,4
56,4
78,4
90,4
113,4
131,4
135,4
137,4
143,4
144,4
163,4
183,4
185,4
200,4
201,4
202,4
203,4
211,4
234,4
269,4
281,4
284,4
289,4
290,4
291,4
304,4
315,4
322,4
331,4
336,4
349,4
362,4
383,4
411,4
416,4
418,4
432,4
433,4
444,4
446,4
456,4
462,4
468,4
481,4
490,4
546,4
572,4
573,4
574,4
580,4
587,4
596,4
601,4
605,4
634,4
635,4
637,4
638,4
642,4
665,4
686,4
709,4
710,4
740,4
763,4
769,4
772,4
774,4
809,4
817,4
839,4
877,4
886,4
909,4
926,4
934,4
950,4
706,4
55,4
123,4
786,4
70,4
114,4
448,4
852,4
178,4
145,4
868,4
43,4
7,5
40,5
83,5
106,5
109,5
117,5
193,5
204,5
208,5
210,5
212,5
217,5
224,5
242,5
243,5
254,5
257,5
262,5
264,5
275,5
318,5
323,5
325,5
329,5
341,5
346,5
353,5
359,5
361,5
373,5
409,5
437,5
459,5
489,5
512,5
519,5
522,5
548,5
549,5
557,5
570,5
584,5
586,5
590,5
591,5
597,5
613,5
623,5
626,5
645,5
650,5
670,5
676,5
679,5
683,5
687,5
693,5
700,5
717,5
720,5
724,5
745,5
750,5
784,5
790,5
810,5
815,5
826,5
832,5
843,5
866,5
867,5
884,5
907,5
913,5
940,5
966,5
969,5
688,5
705,5
831,5
221,5
506,5
759,5
89,5
20,5
860,5
491,5
733,5
824,5
13,6
14,6
28,6
45,6
51,6
68,6
81,6
82,6
96,6
98,6
184,6
247,6
250,6
256,6
258,6
272,6
279,6
301,6
335,6
354,6
371,6
372,6
387,6
391,6
393,6
422,6
429,6
441,6
469,6
483,6
487,6
494,6
500,6
515,6
516,6
528,6
529,6
551,6
553,6
558,6
561,6
569,6
571,6
582,6
603,6
604,6
616,6
620,6
662,6
663,6
690,6
701,6
707,6
732,6
746,6
749,6
773,6
776,6
779,6
780,6
788,6
792,6
818,6
836,6
840,6
874,6
890,6
899,6
902,6
920,6
954,6
967,6
968,6
294,6
139,6
453,6
205,6
66,6
128,6
721,6
944,6
164,6
49,6
169,6
699,6
812,6
126,6
504,6
451,6
937,6
5,7
17,7
31,7
50,7
63,7
77,7
110,7
124,7
180,7
181,7
182,7
213,7
231,7
241,7
249,7
261,7
266,7
267,7
280,7
287,7
296,7
309,7
312,7
317,7
334,7
356,7
380,7
386,7
395,7
407,7
415,7
423,7
466,7
477,7
488,7
495,7
505,7
508,7
533,7
534,7
536,7
555,7
578,7
600,7
614,7
646,7
675,7
681,7
708,7
712,7
729,7
736,7
747,7
766,7
783,7
795,7
805,7
814,7
829,7
859,7
861,7
862,7
881,7
882,7
883,7
891,7
895,7
897,7
914,7
918,7
919,7
932,7
939,7
945,7
957,7
961,7
972,7
179,7
158,7
194,7
69,7
853,7
857,7
138,7
460,7
154,7
92,7
167,7
2,7
806,7
1,8
3,8
12,8
19,8
33,8
48,8
86,8
88,8
91,8
105,8
148,8
153,8
161,8
227,8
232,8
244,8
245,8
246,8
248,8
259,8
273,8
278,8
319,8
339,8
355,8
358,8
363,8
367,8
374,8
384,8
392,8
406,8
408,8
426,8
428,8
517,8
524,8
531,8
532,8
535,8
544,8
579,8
583,8
592,8
607,8
615,8
619,8
625,8
627,8
633,8
641,8
647,8
651,8
653,8
671,8
674,8
680,8
703,8
711,8
728,8
754,8
758,8
761,8
778,8
793,8
794,8
798,8
800,8
885,8
923,8
936,8
958,8
973,8
510,8
929,8
509,8
134,8
150,8
57,8
94,8
941,8
492,8
449,8
452,8
54,8
734,8
820,8
887,8
888,8
438,8
4,9
18,9
24,9
36,9
46,9
53,9
60,9
42,9
76,9
103,9
121,9
189,9
195,9
198,9
219,9
226,9
233,9
235,9
240,9
282,9
288,9
297,9
298,9
303,9
310,9
332,9
345,9
348,9
350,9
352,9
370,9
381,9
385,9
400,9
417,9
424,9
442,9
443,9
445,9
461,9
465,9
