outer_fold,logger_ID,inner_fold
1,1,1
1,14,1
1,18,1
1,26,1
1,36,1
1,85,1
1,87,1
1,96,1
1,109,1
1,113,1
1,121,1
1,122,1
1,124,1
1,141,1
1,148,1
1,151,1
1,183,1
1,197,1
1,201,1
1,202,1
1,203,1
1,209,1
1,210,1
1,217,1
1,220,1
1,224,1
1,227,1
1,235,1
1,236,1
1,238,1
1,241,1
1,242,1
1,243,1
1,245,1
1,246,1
1,261,1
1,273,1
1,280,1
1,282,1
1,287,1
1,291,1
1,295,1
1,324,1
1,332,1
1,340,1
1,341,1
1,343,1
1,350,1
1,352,1
1,354,1
1,360,1
1,384,1
1,387,1
1,393,1
1,400,1
1,409,1
1,415,1
1,429,1
1,432,1
1,439,1
1,442,1
1,445,1
1,446,1
1,461,1
1,466,1
1,485,1
1,486,1
1,488,1
1,489,1
1,494,1
1,496,1
1,508,1
1,527,1
1,528,1
1,533,1
1,534,1
1,535,1
1,543,1
1,550,1
1,553,1
1,558,1
1,561,1
1,567,1
1,569,1
1,570,1
1,580,1
1,583,1
1,591,1
1,593,1
1,602,1
1,606,1
1,611,1
1,619,1
1,622,1
1,624,1
1,635,1
1,641,1
1,642,1
1,643,1
1,646,1
1,659,1
1,662,1
1,666,1
1,667,1
1,671,1
1,672,1
1,678,1
1,679,1
1,681,1
1,684,1
1,691,1
1,703,1
1,723,1
1,724,1
1,727,1
1,742,1
1,747,1
1,757,1
1,762,1
1,769,1
1,782,1
1,783,1
1,788,1
1,790,1
1,792,1
1,797,1
1,803,1
1,826,1
1,829,1
1,832,1
1,843,1
1,862,1
1,870,1
1,877,1
1,881,1
1,885,1
1,886,1
1,891,1
1,896,1
1,900,1
1,901,1
1,902,1
1,914,1
1,919,1
1,924,1
1,966,1
1,689,1
1,630,1
1,205,1
1,66,1
1,196,1
1,853,1
1,447,1
1,49,1
1,169,1
1,699,1
1,491,1
1,852,1
1,225,1
1,812,1
1,820,1
1,438,1
1,43,1
1,898,1
1,5,2
1,7,2
1,12,2
1,13,2
1,19,2
1,25,2
1,74,2
1,83,2
1,98,2
1,103,2
1,106,2
1,110,2
