"species","selection_auc","selection_tss","series_auc","series_tss","run_sd_auc","run_sd_tss"
"Agrostis agrostiflora",0.878002838808324,0.698906379446464,0.879570357799378,0.68801792249788,0.00525089088858449,0.0113082596901894
"Anthoxanthum alpinum",0.886445266429088,0.672294616278984,0.884148244887249,0.671977617383723,0.00381256448922763,0.00889262846561285
"Avenula versicolor",0.847962419539514,0.58569526676456,0.865710404216982,0.637307282968576,0.00587765778006736,0.0141168755299479
"Campanula scheuchzeri",0.845410409556025,0.622032053503921,0.847092508731657,0.598666481789573,0.00453256933551732,0.00974048882647059
"Festuca nigricans",0.821061076091242,0.610248961190365,0.854228199921193,0.635154216378816,0.00515652055882463,0.0128015772329789
"Geranium sylvaticum",0.908894579084723,0.789307020568693,0.886838933130762,0.747638107386075,0.00529123839105673,0.0172095964502968
"Geum montanum",0.915159039363714,0.731738685110366,0.905757940218314,0.722379472240126,0.00709841289762863,0.013669346305787
"Homogyne alpina",0.883525707539758,0.681789107283052,0.871231912358215,0.649216826842291,0.00269063605340634,0.0105467566405413
"Leontodon hispidus",0.895425402485676,0.718106187425112,0.885020391682621,0.714967965449311,0.0041949747679798,0.0107933989983522
"Luzula alpino-pilosa",0.806739533077929,0.53471723670967,0.762354280839582,0.469454555754914,0.00597946407312515,0.013120064542071
"Persicaria vivipara",0.865622125838906,0.648300244269722,0.858615657712322,0.637884877697616,0.00510253367870817,0.00863730644339017
"Potentilla aurea",0.88519207970384,0.695571929353705,0.882137347209403,0.68544677168208,0.00379568062997597,0.00722065790012038
"Ranunculus villarsii",0.913678041819128,0.751436150904229,0.913396178151606,0.755640226785659,0.00252376141486727,0.010481702204035
"Rhododendron ferrugineum",0.865570171716807,0.703842271618828,0.867331624293804,0.689154785395473,0.00520653871725543,0.00893681633094487
"Salix helvetica",0.83556019001903,0.649823764383306,0.819485781127709,0.660000615597253,0.00953913038177186,0.0115678885735762
"Scorzoneroides helvetica",0.877868574923602,0.649903591707052,0.861733436889306,0.635404388364422,0.00564894713070833,0.0113738271351414
"Silene vulgaris",0.895968130642362,0.769804758116617,0.856264207997537,0.701487729955008,0.0118028706888409,0.0251407584568591
"Solidago virgaurea subsp. minuta",0.873509364944072,0.704604176096675,0.864031840575218,0.680676174152476,0.00669150335017861,0.0134312503222492
"Vaccinium gaultherioides",0.881552133017006,0.703170531615584,0.87797074852818,0.706047979937963,0.00669143995956454,0.0117361978614935
"Vaccinium myrtillus",0.909451009245927,0.748713817475878,0.902248740690945,0.738592902015906,0.00394940309650237,0.0118597917157681
"Viola biflora",0.916828137091004,0.771486226854643,0.916239076640255,0.772798601869604,0.00438423187209966,0.0128850145047091
"Carex curvula subsp. curvula",0.922109887650279,0.76756587776813,0.93369677516552,0.792077799688612,0.00707588941231076,0.0144138164732513
"Cerastium uniflorum",0.926117383165066,0.794348603938316,0.919044814448985,0.787988785572221,0.00227321747264454,0.0049323518999304
