variable,fold,n_occ,pres_train,abs_train,pres_test,abs_test,scorable
P9,1,2,2,30,0,8,FALSE
P9,2,2,2,30,0,8,FALSE
P9,3,2,1,31,1,7,TRUE
P9,4,2,1,31,1,7,TRUE
P9,5,2,2,30,0,8,FALSE
_x,1,0,0,32,0,8,FALSE
_x,2,0,0,32,0,8,FALSE
_x,3,0,0,32,0,8,FALSE
_x,4,0,0,32,0,8,FALSE
_x,5,0,0,32,0,8,FALSE
a1,1,21,16,16,5,3,TRUE
a1,2,21,18,14,3,5,TRUE
a1,3,21,18,14,3,5,TRUE
a1,4,21,15,17,6,2,TRUE
a1,5,21,17,15,4,4,TRUE
sp1,1,40,32,0,8,0,FALSE
sp1,2,40,32,0,8,0,FALSE
sp1,3,40,32,0,8,0,FALSE
sp1,4,40,32,0,8,0,FALSE
sp1,5,40,32,0,8,0,FALSE
sp2,1,8,6,26,2,6,TRUE
sp2,2,8,7,25,1,7,TRUE
sp2,3,8,7,25,1,7,TRUE
sp2,4,8,6,26,2,6,TRUE
sp2,5,8,6,26,2,6,TRUE
sp3,1,10,8,24,2,6,TRUE
sp3,2,10,8,24,2,6,TRUE
sp3,3,10,7,25,3,5,TRUE
sp3,4,10,9,23,1,7,TRUE
sp3,5,10,8,24,2,6,TRUE
