series,grain,tz,year_start,partial,stat,kind,n_unit,n_bin,channels,first_bin,last_bin,tolerance,digest
aligned,day,UTC,09-01,keep,mean,calendar,3,400,year_sin+year_cos,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,1e-12,6776d330371132cacb6cba816e7b4190
aligned,week,UTC,09-01,keep,mean,calendar,3,58,year_sin+year_cos,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,1e-12,0530bddcc2b3c7d8b39c7909d850e25f
aligned,month,UTC,09-01,keep,mean,calendar,3,14,year_sin+year_cos,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1e-12,638ced3ab6149ae4d15ad571a8f3a128
aligned,season,UTC,09-01,keep,mean,calendar,3,5,year_sin+year_cos,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1e-12,fb8aa0d02bbf25a90bfe325799cb3bc3
aligned,year,UTC,09-01,keep,mean,calendar,3,2,year_sin+year_cos,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1e-12,575f5b929f4f50a1f0396a0a03ae3469
aligned,astronomical,UTC,09-01,keep,mean,calendar,3,6,year_sin+year_cos,2021-09-01T00:00:00Z,2022-09-23T00:00:00Z,1e-12,14787783b62dffd8c9f0edba41874713
offset,day,UTC,09-01,keep,mean,calendar,2,201,year_sin+year_cos,2021-10-17T00:00:00Z,2022-05-05T00:00:00Z,1e-12,78684584a1ed92fdae41ab4da92bf6bd
offset,week,UTC,09-01,keep,mean,calendar,2,30,year_sin+year_cos,2021-10-11T00:00:00Z,2022-05-02T00:00:00Z,1e-12,516caceff0c87f68ad2a8ea2404b241f
offset,month,UTC,09-01,keep,mean,calendar,2,8,year_sin+year_cos,2021-10-01T00:00:00Z,2022-05-01T00:00:00Z,1e-12,9088f263f18870e47d847c6b27c2c7b5
aligned,season,UTC,03-01,keep,mean,calendar,3,5,year_sin+year_cos,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1e-12,fb8aa0d02bbf25a90bfe325799cb3bc3
aligned,year,UTC,03-01,keep,mean,calendar,3,2,year_sin+year_cos,2021-03-01T00:00:00Z,2022-03-01T00:00:00Z,1e-12,cff1987dfe7e9d0b397e8428856068aa
aligned,week,UTC,09-01,drop,mean,calendar,3,56,year_sin+year_cos,2021-09-06T00:00:00Z,2022-09-26T00:00:00Z,1e-12,7bada8fe04c441abe3dfe922187ebea6
aligned,week,Europe/Vienna,09-01,keep,mean,calendar,3,58,year_sin+year_cos,2021-08-29T22:00:00Z,2022-10-02T22:00:00Z,1e-12,d0b4f9c18a7cd594e117e43b7150cc9a
zoned,native,America/Sao_Paulo,09-01,keep,mean,calendar,2,240,year_sin+year_cos,2018-11-01T00:00:00Z,2018-11-10T23:00:00Z,1e-12,1b1721efe4bd73a1e7f1d5745855f61e
zoned,halfday,America/Sao_Paulo,09-01,keep,mean,calendar,2,21,year_sin+year_cos,2018-10-31T15:00:00Z,2018-11-10T14:00:00Z,1e-12,6131499c1be2e4aebc7ae99f2ca83627
zoned,day,America/Sao_Paulo,09-01,keep,mean,calendar,2,11,year_sin+year_cos,2018-10-31T03:00:00Z,2018-11-10T02:00:00Z,1e-12,b317d0aefc98d6b9cc16da4cdbceb94a
aligned,week,UTC,09-01,keep,cold_day+mean+warm_day,bound,3,58,cold_day+mean+warm_day+year_sin+year_cos,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,1e-12,0530bddcc2b3c7d8b39c7909d850e25f
offset,week,UTC,09-01,keep,min+mean+max,bound,2,30,min+mean+max+year_sin+year_cos,2021-10-11T00:00:00Z,2022-05-02T00:00:00Z,1e-12,516caceff0c87f68ad2a8ea2404b241f
zoned,day,America/Sao_Paulo,09-01,keep,mean,bound,2,11,mean+year_sin+year_cos,2018-10-31T03:00:00Z,2018-11-10T02:00:00Z,1e-12,b317d0aefc98d6b9cc16da4cdbceb94a
