variable,fold,a,b
P9,1,0.391686,0.400641
P9,2,NA,0.402687
P9,3,0.317157,0.238426
P9,4,0.711492,0.680342
P9,5,0.341509,NA
_x,1,0.311442,0.195719
_x,2,0.389542,0.25826
_x,3,0.422618,0.471094
_x,4,0.329184,0.278066
_x,5,0.357959,0.213125
a1,1,0.619571,0.542485
a1,2,0.547588,0.424254
a1,3,0.455764,0.340914
a1,4,0.655678,0.648494
a1,5,0.68318,0.609563
sp1,1,0.329694,0.284911
sp1,2,NA,NA
sp1,3,0.804256,0.67402
sp1,4,0.378277,0.268248
sp1,5,0.625422,0.576004
sp2,1,0.414891,0.319007
sp2,2,0.731885,0.769808
sp2,3,0.510632,NA
sp2,4,0.731873,0.602944
sp2,5,0.559643,0.447735
sp3,1,0.807476,0.689733
sp3,2,0.660351,0.697232
sp3,3,0.566475,0.594421
sp3,4,0.300977,0.247131
sp3,5,0.598332,0.572645
