series,grain,tz,year_start,partial,stat,n_unit,n_bin,first_bin,last_bin,n_partial,first_unit,last_unit,digest
aligned,native,UTC,09-01,keep,mean,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,p01,p03,3c7d6efffba24e5605dd1ac72b2a7904
aligned,native,UTC,09-01,keep,min,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,p01,p03,3c7d6efffba24e5605dd1ac72b2a7904
aligned,native,UTC,09-01,keep,max,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,p01,p03,3c7d6efffba24e5605dd1ac72b2a7904
aligned,native,UTC,09-01,keep,min+mean+max,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,p01,p03,3407676e4008ffbad4e5b4e11a1f89f1
aligned,halfday,UTC,09-01,keep,mean,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,p01,p03,4c2eb2409b8803da47c8be4198c0b0e3
aligned,halfday,UTC,09-01,keep,min,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,p01,p03,85dafcd04da33acb5be383cdc2663f48
aligned,halfday,UTC,09-01,keep,max,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,p01,p03,21fee7cb3f38f7fbd9f2dbc8adac3720
aligned,halfday,UTC,09-01,keep,min+mean+max,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,p01,p03,c1581557781f199cdd448b691c536c65
aligned,day,UTC,09-01,keep,mean,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,40452df1f97a471404cd4eaea3c7f870
aligned,day,UTC,09-01,keep,min,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,f402ff58620929ce82916c6767c46fa4
aligned,day,UTC,09-01,keep,max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,1c912a3bc61a2537ab8a044af8fc2b90
aligned,day,UTC,09-01,keep,cold_day,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,40452df1f97a471404cd4eaea3c7f870
aligned,day,UTC,09-01,keep,warm_day,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,40452df1f97a471404cd4eaea3c7f870
aligned,day,UTC,09-01,keep,mean_daily_min,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,f402ff58620929ce82916c6767c46fa4
aligned,day,UTC,09-01,keep,mean_daily_max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,1c912a3bc61a2537ab8a044af8fc2b90
aligned,day,UTC,09-01,keep,min+mean+max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,4fb8669cb8fc873ebdfc2e1e9171e4ca
aligned,day,UTC,09-01,keep,mean_daily_min+mean+mean_daily_max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,4fb8669cb8fc873ebdfc2e1e9171e4ca
aligned,day,UTC,09-01,keep,cold_day+mean+warm_day,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,p01,p03,04d143a3c07dc5e4395d0233c62d671e
aligned,week,UTC,09-01,keep,mean,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,23015e94770e53ec80212f6e756f96bf
aligned,week,UTC,09-01,keep,min,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,171ae388d9bec359d9c6983fb8a1293a
aligned,week,UTC,09-01,keep,max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,1ec9ebd9a0b7ae90233298c98e025f34
aligned,week,UTC,09-01,keep,cold_day,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,e95109b48a9b38f53535acc830928d70
aligned,week,UTC,09-01,keep,warm_day,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,90935bc92662ee48704abf92e5386adf
aligned,week,UTC,09-01,keep,mean_daily_min,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,efaebf0411643c3de15cc93cb5ed2de2
aligned,week,UTC,09-01,keep,mean_daily_max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,7a6c5b39cf403747e1b231bef606957e
aligned,week,UTC,09-01,keep,min+mean+max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,cab3ea1f4525c9c05dac38e90c3e379d
aligned,week,UTC,09-01,keep,mean_daily_min+mean+mean_daily_max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,p01,p03,ee64c863a6c60c8b4433a02960e58655
