grain,variable,fold,score
day,s01,1,0.626327
day,s01,2,0.636282
day,s01,3,NA
day,s01,4,0.568229
day,s02,1,0.605227
day,s02,2,0.692841
day,s02,3,0.647546
day,s02,4,0.69831
day,s03,1,0.570091
day,s03,2,0.622303
day,s03,3,0.640386
day,s03,4,0.570075
day,s04,1,0.661403
day,s04,2,0.587169
day,s04,3,0.660596
day,s04,4,0.651335
day,s05,1,0.439922
day,s05,2,0.518229
day,s05,3,0.465669
day,s05,4,NA
day,s06,1,0.501361
day,s06,2,0.532643
day,s06,3,0.529485
day,s06,4,0.489137
day,s07,1,0.712517
day,s07,2,0.762595
day,s07,3,0.760877
day,s07,4,0.772188
day,s08,1,0.692351
day,s08,2,0.744628
day,s08,3,0.773688
day,s08,4,0.769468
day,s09,1,0.700741
day,s09,2,0.704771
day,s09,3,0.728721
day,s09,4,0.692033
day,s10,1,0.614708
day,s10,2,0.638595
day,s10,3,0.544857
day,s10,4,0.548287
day,s11,1,NA
day,s11,2,0.551133
day,s11,3,0.547451
day,s11,4,0.579503
day,s12,1,0.597444
day,s12,2,0.596682
day,s12,3,0.641406
day,s12,4,0.656942
week,s01,1,0.646665
week,s01,2,0.63263
week,s01,3,0.622099
week,s01,4,0.644493
week,s02,1,0.649687
week,s02,2,0.682849
week,s02,3,0.68045
week,s02,4,0.682623
week,s03,1,0.675936
week,s03,2,0.655241
week,s03,3,0.68033
week,s03,4,0.591957
week,s04,1,0.660633
week,s04,2,0.64461
week,s04,3,0.616004
week,s04,4,0.621428
week,s05,1,0.515682
week,s05,2,0.569125
week,s05,3,0.522824
week,s05,4,0.560023
week,s06,1,0.510687
week,s06,2,0.513743
week,s06,3,0.512047
week,s06,4,0.473592
week,s07,1,0.764917
week,s07,2,0.778834
week,s07,3,0.820452
week,s07,4,0.804887
week,s08,1,NA
week,s08,2,0.752169
week,s08,3,0.783998
week,s08,4,0.752946
week,s09,1,0.716333
week,s09,2,0.765303
week,s09,3,0.723489
week,s09,4,0.761551
week,s10,1,0.628652
week,s10,2,0.545904
week,s10,3,0.613126
week,s10,4,0.537051
week,s11,1,0.586661
week,s11,2,0.549525
week,s11,3,0.557236
week,s11,4,0.570328
week,s12,1,0.625708
week,s12,2,0.615438
week,s12,3,0.654198
week,s12,4,0.6215
month,s01,1,0.61842
month,s01,2,0.59247
month,s01,3,0.670673
month,s01,4,0.595072
month,s02,1,0.704805
month,s02,2,0.689764
month,s02,3,0.714466
month,s02,4,0.66672
month,s03,1,0.646329
month,s03,2,0.629889
month,s03,3,0.700227
month,s03,4,0.601796
month,s04,1,0.631913
month,s04,2,0.658362
month,s04,3,0.597426
month,s04,4,0.647692
month,s05,1,0.477136
month,s05,2,0.531416
month,s05,3,0.585558
month,s05,4,0.485529
month,s06,1,0.511813
month,s06,2,0.506702
month,s06,3,0.536126
month,s06,4,0.511997
month,s07,1,0.752739
month,s07,2,0.726061
month,s07,3,0.740141
month,s07,4,0.77776
month,s08,1,0.76756
month,s08,2,0.758299
month,s08,3,0.768229
month,s08,4,0.759974
month,s09,1,0.666276
month,s09,2,NA
month,s09,3,0.735659
month,s09,4,0.768054
month,s10,1,0.59797
month,s10,2,0.657596
month,s10,3,0.63993
month,s10,4,0.604338
month,s11,1,0.582908
month,s11,2,0.52252
month,s11,3,0.557668
month,s11,4,0.541181
month,s12,1,0.621921
month,s12,2,0.661385
month,s12,3,0.647391
month,s12,4,0.611617
