set,tz,span,lag,bins,stat,n_target,n_bin,first_bin,last_bin,first_unit,last_unit,digest
aligned,UTC,30 days,0 days,1,mean,9,1,-30 days,-30 days,p01,p03,5c1d4ac2ac8d75d8d162b3c0b976e4f9
aligned,UTC,30 days,0 days,1,min,9,1,-30 days,-30 days,p01,p03,8fd7459aaf429f0c3ccd7ee875e0709a
aligned,UTC,30 days,0 days,1,max,9,1,-30 days,-30 days,p01,p03,36f1011e92849a92237f6c3968243a60
aligned,UTC,30 days,0 days,1,cold_day,9,1,-30 days,-30 days,p01,p03,b1b9c53bf4b94195b6ead7eeed06851f
aligned,UTC,30 days,0 days,1,warm_day,9,1,-30 days,-30 days,p01,p03,2b1f71087fb8a280fd19fb79b2141c51
aligned,UTC,30 days,0 days,1,mean_daily_min,9,1,-30 days,-30 days,p01,p03,191bd51f56e42f57ec5430590bf63615
aligned,UTC,30 days,0 days,1,mean_daily_max,9,1,-30 days,-30 days,p01,p03,949c07684b519a4c02310786f40c09cd
aligned,UTC,30 days,0 days,1,min+mean+max,9,1,-30 days,-30 days,p01,p03,289ef9913183ac2b2a98a06b312cc8e9
aligned,UTC,30 days,0 days,1,mean_daily_min+mean+mean_daily_max,9,1,-30 days,-30 days,p01,p03,2f85ae97f7f60889ab104e1f5c34ce49
aligned,UTC,30 days,0 days,1,cold_day+mean+warm_day,9,1,-30 days,-30 days,p01,p03,94636d896e9782fba90a8a846d77d7f0
aligned,UTC,30 days,0 days,3,mean,9,3,-30 days,-10 days,p01,p03,9e4c829452c3b9e7f00ddaebebcc23d1
aligned,UTC,30 days,0 days,3,min,9,3,-30 days,-10 days,p01,p03,957473053712d9e325171ae0fa891913
aligned,UTC,30 days,0 days,3,max,9,3,-30 days,-10 days,p01,p03,2152a397c3fbac1bcbc64419c9c68372
aligned,UTC,30 days,0 days,3,cold_day,9,3,-30 days,-10 days,p01,p03,e79f903e7ea6a874a06a2add9e85c3e8
aligned,UTC,30 days,0 days,3,warm_day,9,3,-30 days,-10 days,p01,p03,46386c96f5c52c9ff30e7fc1d1fa0a53
aligned,UTC,30 days,0 days,3,mean_daily_min,9,3,-30 days,-10 days,p01,p03,31f56260ac8dfbaf87478a6511d3fdfd
aligned,UTC,30 days,0 days,3,mean_daily_max,9,3,-30 days,-10 days,p01,p03,3b711d93a392188cf991747ef10f32e2
aligned,UTC,30 days,0 days,3,min+mean+max,9,3,-30 days,-10 days,p01,p03,19bfbcf8df27858555c51e0ce415a06e
aligned,UTC,30 days,0 days,3,mean_daily_min+mean+mean_daily_max,9,3,-30 days,-10 days,p01,p03,33a56f3a326699fa7a4a4a581833c3b4
aligned,UTC,30 days,0 days,3,cold_day+mean+warm_day,9,3,-30 days,-10 days,p01,p03,2fc0bf6faaa6d6fd5fe2f158523638c0
aligned,UTC,30 days,7 days,3,min+mean+max,9,3,-37 days,-17 days,p01,p03,295a1be6cb0bc5d51de0b6c386f492b6
aligned,UTC,30 days,7 days,3,mean_daily_min+mean+mean_daily_max,9,3,-37 days,-17 days,p01,p03,711eacc04750f940bef21e9e56e3cfcf
aligned,UTC,30 days,7 days,3,cold_day+mean+warm_day,9,3,-37 days,-17 days,p01,p03,ecf4e88c8a31b82db538a0f79c201dc7
aligned,UTC,7 days,0 days,7,min+mean+max,9,7,-7 days,-1 day,p01,p03,f0ffad1f3f64aa8a6e31e637ebab750a
aligned,UTC,7 days,0 days,7,mean_daily_min+mean+mean_daily_max,9,7,-7 days,-1 day,p01,p03,f0ffad1f3f64aa8a6e31e637ebab750a
aligned,UTC,7 days,0 days,7,cold_day+mean+warm_day,9,7,-7 days,-1 day,p01,p03,32cf80d8a2690282274998eb80dbc7d0
aligned,UTC,120 days,0 days,4,min+mean+max,9,4,-120 days,-30 days,p01,p03,3cd3043b63ecf465755a384ce8e8ce32
aligned,UTC,120 days,0 days,4,mean_daily_min+mean+mean_daily_max,9,4,-120 days,-30 days,p01,p03,d604fbd7841fb9dacb4aab7fe3770634
aligned,UTC,120 days,0 days,4,cold_day+mean+warm_day,9,4,-120 days,-30 days,p01,p03,a3b063ba55bffeb64485f091b0cb2156
aligned,UTC,7 days,0 days,3,min+mean+max,9,3,-7 days,-56 hours,p01,p03,c403ede44a2cbe14c927985f6e2c333a
aligned,UTC,1 week,12 hours,1,mean,9,1,-180 hours,-180 hours,p01,p03,53e840c8946399e58b3d6894ba81c7c4
offset,UTC,30 days,0 days,3,mean,4,3,-30 days,-10 days,p01,p02,d8679e4c477884fcf485ca0c41f57d8c
offset,UTC,30 days,0 days,3,min,4,3,-30 days,-10 days,p01,p02,0d83e9e5221ca6caf6def19548a4c469
offset,UTC,30 days,0 days,3,max,4,3,-30 days,-10 days,p01,p02,75a9dca7b47c42b47473952dfc78b4d1
offset,UTC,30 days,0 days,3,cold_day,4,3,-30 days,-10 days,p01,p02,fb8207d0b48331f24f542a6156c638e0
offset,UTC,30 days,0 days,3,warm_day,4,3,-30 days,-10 days,p01,p02,dcc44cbd15fdbd6f408f71d023e34f97
offset,UTC,30 days,0 days,3,mean_daily_min,4,3,-30 days,-10 days,p01,p02,675d232a8d96cad86ef45802c9c56287
offset,UTC,30 days,0 days,3,mean_daily_max,4,3,-30 days,-10 days,p01,p02,3e8ea747088104c3a03b841c1dcc63d4
offset,UTC,30 days,0 days,3,min+mean+max,4,3,-30 days,-10 days,p01,p02,4f20d553186dbe52b72c11d0c8500e97
offset,UTC,30 days,0 days,3,mean_daily_min+mean+mean_daily_max,4,3,-30 days,-10 days,p01,p02,b9c9ef3ce6966557a5d854f31b5e62f7
offset,UTC,30 days,0 days,3,cold_day+mean+warm_day,4,3,-30 days,-10 days,p01,p02,49aee1762bcd466b848d662162c81d07
offset,UTC,60 days,7 days,1,min+mean+max,4,1,-67 days,-67 days,p01,p02,6b3097051032995a777dad1e8f39fe2e
offset,UTC,60 days,7 days,1,mean_daily_min+mean+mean_daily_max,4,1,-67 days,-67 days,p01,p02,04e5433f1e0a8c130c83fe6a42ed741b
offset,UTC,60 days,7 days,1,cold_day+mean+warm_day,4,1,-67 days,-67 days,p01,p02,f340e830082bc1010b0ff965a3d36744
offset,UTC,7 days,0 days,7,cold_day+mean+warm_day,4,7,-7 days,-1 day,p01,p02,9897888df4d7838406ae7ff9d4be8fce
hourly,UTC,12 hours,0 seconds,1,min,4,1,-12 hours,-12 hours,p01,p02,6a02deb36e4c23d320a4bcf80d47425f
hourly,UTC,12 hours,0 seconds,1,mean,4,1,-12 hours,-12 hours,p01,p02,9639fa5a57abdbc08b49fb550e4c6fe1
hourly,UTC,12 hours,0 seconds,1,max,4,1,-12 hours,-12 hours,p01,p02,adb09e93160d094dac10a68cb5a1b1bc
hourly,UTC,12 hours,0 seconds,1,min+mean+max,4,1,-12 hours,-12 hours,p01,p02,7237ca70f4b60c126bc6a7d67120e6bb
hourly,UTC,12 hours,12 hours,3,min+mean+max,4,3,-1 day,-16 hours,p01,p02,eb4132c80919a31504971e2f859301cf
hourly,UTC,3 days,0 days,1,mean,4,1,-3 days,-3 days,p01,p02,0df2261ef8c24af070b26c426a172ea6
hourly,UTC,86400,0 days,2,mean,4,2,-1 day,-12 hours,p01,p02,8003046dd2313cad89303e66fe6f0797
zoned,America/Sao_Paulo,2 days,0 days,2,mean,4,2,-2 days,-1 day,p01,p02,e32ca7a34a25a91639517ebc88bede08
zoned,America/Sao_Paulo,2 days,0 days,2,min,4,2,-2 days,-1 day,p01,p02,294aaab6911a17bac8b2fcb0427afccb
zoned,America/Sao_Paulo,2 days,0 days,2,max,4,2,-2 days,-1 day,p01,p02,329a4b89de487874e754ec39b5b01ee9
zoned,America/Sao_Paulo,2 days,0 days,2,cold_day,4,2,-2 days,-1 day,p01,p02,e32ca7a34a25a91639517ebc88bede08
zoned,America/Sao_Paulo,2 days,0 days,2,warm_day,4,2,-2 days,-1 day,p01,p02,e32ca7a34a25a91639517ebc88bede08
zoned,America/Sao_Paulo,2 days,0 days,2,mean_daily_min,4,2,-2 days,-1 day,p01,p02,294aaab6911a17bac8b2fcb0427afccb
zoned,America/Sao_Paulo,2 days,0 days,2,mean_daily_max,4,2,-2 days,-1 day,p01,p02,329a4b89de487874e754ec39b5b01ee9
zoned,America/Sao_Paulo,2 days,0 days,2,min+mean+max,4,2,-2 days,-1 day,p01,p02,233815d21b1114727e90b32a0bc716ac
zoned,America/Sao_Paulo,2 days,0 days,2,mean_daily_min+mean+mean_daily_max,4,2,-2 days,-1 day,p01,p02,233815d21b1114727e90b32a0bc716ac
zoned,America/Sao_Paulo,2 days,0 days,2,cold_day+mean+warm_day,4,2,-2 days,-1 day,p01,p02,60d6db2ae0d437cc97744c423e3bcf54
