set,series,id,at
aligned,aligned,p01,2022-01-01T00:00:00Z
aligned,aligned,p01,2022-04-15T00:00:00Z
aligned,aligned,p01,2022-09-01T00:00:00Z
aligned,aligned,p02,2022-01-01T00:00:00Z
aligned,aligned,p02,2022-04-15T00:00:00Z
aligned,aligned,p02,2022-09-01T00:00:00Z
aligned,aligned,p03,2022-01-01T00:00:00Z
aligned,aligned,p03,2022-04-15T00:00:00Z
aligned,aligned,p03,2022-09-01T00:00:00Z
offset,offset,p01,2022-01-01T00:00:00Z
offset,offset,p01,2022-03-01T00:00:00Z
offset,offset,p02,2022-01-01T00:00:00Z
offset,offset,p02,2022-03-01T00:00:00Z
hourly,offset,p01,2022-01-15T05:00:00Z
hourly,offset,p01,2022-02-20T13:00:00Z
hourly,offset,p02,2022-01-15T05:00:00Z
hourly,offset,p02,2022-02-20T13:00:00Z
zoned,zoned,p01,2018-11-08T02:00:00Z
zoned,zoned,p01,2018-11-10T02:00:00Z
zoned,zoned,p02,2018-11-08T02:00:00Z
zoned,zoned,p02,2018-11-10T02:00:00Z
