case,y,p
plain,0,0.1
plain,0,0.2
plain,0,0.35
plain,1,0.4
plain,1,0.6
plain,1,0.9
plain,0,0.55
plain,1,0.7
all_tied,0,0.5
all_tied,1,0.5
all_tied,0,0.5
all_tied,1,0.5
all_tied,1,0.5
all_tied,0,0.5
some_tied,0,0.2
some_tied,1,0.2
some_tied,1,0.8
some_tied,0,0.8
some_tied,1,0.5
some_tied,0,0.5
tied_across_classes,0,0.3
tied_across_classes,1,0.3
tied_across_classes,0,0.7
tied_across_classes,1,0.7
one_presence,0,0.1
one_presence,0,0.3
one_presence,0,0.2
one_presence,1,0.9
one_presence,0,0.4
one_presence,0,0.05
one_absence,1,0.9
one_absence,1,0.8
one_absence,1,0.7
one_absence,0,0.2
one_absence,1,0.6
all_presence,1,0.1
all_presence,1,0.4
all_presence,1,0.6
all_presence,1,0.9
all_absence,0,0.1
all_absence,0,0.4
all_absence,0,0.6
all_absence,0,0.9
perfect,0,0.1
perfect,0,0.2
perfect,1,0.8
perfect,1,0.9
reversed,1,0.1
reversed,1,0.2
reversed,0,0.8
reversed,0,0.9
