case,metric,value
plain,tss,0.75
plain,roc_auc,0.9375
plain,kappa,0.5
plain,kappa_youden,0.75
plain,threshold_youden,0.6
plain,threshold_kappa,0.6
plain,threshold_prevalence,0.475
all_tied,tss,0
all_tied,roc_auc,0.5
all_tied,kappa,0
all_tied,kappa_youden,0
all_tied,threshold_youden,0.5
all_tied,threshold_kappa,0.5
all_tied,threshold_prevalence,0.5
some_tied,tss,0
some_tied,roc_auc,0.5
some_tied,kappa,0
some_tied,kappa_youden,0
some_tied,threshold_youden,0.8
some_tied,threshold_kappa,0.8
some_tied,threshold_prevalence,0.5
tied_across_classes,tss,0
tied_across_classes,roc_auc,0.5
tied_across_classes,kappa,0
tied_across_classes,kappa_youden,0
tied_across_classes,threshold_youden,0.7
tied_across_classes,threshold_kappa,0.7
tied_across_classes,threshold_prevalence,0.5
one_presence,tss,1
one_presence,roc_auc,1
one_presence,kappa,1
one_presence,kappa_youden,1
one_presence,threshold_youden,0.9
one_presence,threshold_kappa,0.9
one_presence,threshold_prevalence,0.483333333333
one_absence,tss,1
one_absence,roc_auc,1
one_absence,kappa,1
one_absence,kappa_youden,1
one_absence,threshold_youden,0.6
one_absence,threshold_kappa,0.6
one_absence,threshold_prevalence,0.52
all_presence,tss,NA
all_presence,roc_auc,NA
all_presence,kappa,NA
all_presence,kappa_youden,NA
all_presence,threshold_youden,NA
all_presence,threshold_kappa,NA
all_presence,threshold_prevalence,NA
all_absence,tss,NA
all_absence,roc_auc,NA
all_absence,kappa,NA
all_absence,kappa_youden,NA
all_absence,threshold_youden,NA
all_absence,threshold_kappa,NA
all_absence,threshold_prevalence,NA
perfect,tss,1
perfect,roc_auc,1
perfect,kappa,1
perfect,kappa_youden,1
perfect,threshold_youden,0.8
perfect,threshold_kappa,0.8
perfect,threshold_prevalence,0.5
reversed,tss,0
reversed,roc_auc,0
reversed,kappa,-1
reversed,kappa_youden,0
reversed,threshold_youden,0.1
reversed,threshold_kappa,0.1
reversed,threshold_prevalence,0.5
