case,family,alpha,weighted,thresh,max_pass,tolerance,objective_tolerance
gaussian_a10_flat,gaussian,1,FALSE,1e-14,10000000,1e-04,1e-06
gaussian_a10_weighted,gaussian,1,TRUE,1e-14,10000000,1e-04,1e-06
gaussian_a05_flat,gaussian,0.5,FALSE,1e-14,10000000,1e-04,1e-06
gaussian_a05_weighted,gaussian,0.5,TRUE,1e-14,10000000,1e-04,1e-06
gaussian_a00_flat,gaussian,0,FALSE,1e-14,10000000,1e-04,1e-06
gaussian_a00_weighted,gaussian,0,TRUE,1e-14,10000000,1e-04,1e-06
binomial_a10_flat,binomial,1,FALSE,1e-14,10000000,1e-04,1e-06
binomial_a10_weighted,binomial,1,TRUE,1e-14,10000000,1e-04,1e-06
binomial_a05_flat,binomial,0.5,FALSE,1e-14,10000000,1e-04,1e-06
binomial_a05_weighted,binomial,0.5,TRUE,1e-14,10000000,1e-04,1e-06
binomial_a00_flat,binomial,0,FALSE,1e-14,10000000,1e-04,1e-06
binomial_a00_weighted,binomial,0,TRUE,1e-14,10000000,1e-04,1e-06
