case,n_point,lambda_min,lambda_1se,index_min,index_1se,cv_min,cv_sd_min
gaussian_a10_flat,96,0.0109701391759,0.0533434160904,45,28,0.397839406295,0.05830877076
gaussian_a10_weighted,97,0.0107060790178,0.0627057276872,46,27,0.445755532237,0.0813834375881
gaussian_a05_flat,100,0.019991164493,0.0972090680511,46,29,0.399287962289,0.062886557594
gaussian_a05_weighted,100,0.0161975123178,0.114270247327,49,28,0.453814967628,0.0863519078313
gaussian_a00_flat,100,0.0657642565978,0.319785378044,100,83,0.398997105236,0.0735447459869
gaussian_a00_weighted,100,0.0704388509164,0.412561816217,100,81,0.456125420338,0.100903091257
binomial_a10_flat,99,0.032772461323,0.0830901348185,18,8,1.14242831912,0.0832580368066
binomial_a10_weighted,100,0.0360943916972,0.175512646099,18,1,1.21799859124,0.141004428596
binomial_a05_flat,100,0.0544165462826,0.200164723099,20,6,1.16188714367,0.0819406990267
binomial_a05_weighted,100,0.0546081672987,0.351025292197,21,1,1.22125452227,0.139068850191
binomial_a00_flat,100,0.163109312266,159.359422212,75,1,1.2062660116,0.0870140301256
binomial_a00_weighted,100,0.237476995214,175.512646099,72,1,1.24705118003,0.121435803967
