unit,mean@2021-08-30T00:00:00Z,mean@2021-09-06T00:00:00Z,mean@2021-09-13T00:00:00Z,mean@2021-09-20T00:00:00Z,mean@2021-09-27T00:00:00Z,mean@2021-10-04T00:00:00Z,mean@2021-10-11T00:00:00Z,mean@2021-10-18T00:00:00Z,mean@2021-10-25T00:00:00Z,mean@2021-11-01T00:00:00Z,mean@2021-11-08T00:00:00Z,mean@2021-08-30T00:00:00Z^2,mean@2021-09-06T00:00:00Z^2,mean@2021-09-13T00:00:00Z^2,mean@2021-09-20T00:00:00Z^2,mean@2021-09-27T00:00:00Z^2,mean@2021-10-04T00:00:00Z^2,mean@2021-10-11T00:00:00Z^2,mean@2021-10-18T00:00:00Z^2,mean@2021-10-25T00:00:00Z^2,mean@2021-11-01T00:00:00Z^2,mean@2021-11-08T00:00:00Z^2,y_gaussian,y_binomial,w,fold
d003u00001,8.056397,7.616644,8.582386,7.566264,8.27247,6.456824,5.886223,6.338119,3.752457,3.488921,2.481241,64.905531,58.013259,73.657351,57.248353,68.433758,41.690575,34.647619,40.171759,14.080937,12.172572,6.156559,0.243516,0,0.939428,1
d003u00002,6.191791,7.812556,6.172298,5.468736,4.790123,4.951832,3.800507,4.524005,2.606,2.356284,0.825113,38.338281,61.036024,38.097261,29.907077,22.945277,24.520644,14.443856,20.466625,6.791236,5.552072,0.680811,0.60402,1,0.367507,2
d003u00003,8.145457,7.591821,8.820336,8.413832,7.289262,7.821326,6.539438,6.667062,4.665356,3.641292,1.870201,66.348469,57.635744,77.798334,70.792564,53.133346,61.173134,42.764244,44.44972,21.765546,13.25901,3.49765,-0.994229,1,1.603238,1
d003u00004,7.852871,7.395366,6.840112,8.268412,7.186293,7.149729,6.228333,5.407027,4.736722,3.118866,2.628533,61.667576,54.691436,46.78713,68.366631,51.642801,51.118629,38.792132,29.235944,22.436532,9.727323,6.909186,-0.558169,0,2.025108,4
d003u00005,7.923443,8.714106,9.512532,7.603027,7.282594,7.173272,7.351775,7.1471,5.326881,4.490216,3.705801,62.780949,75.935635,90.488265,57.806017,53.036179,51.455837,54.048597,51.081043,28.375656,20.162039,13.732964,-0.067705,0,0.682401,1
d003u00006,6.96887,8.37071,7.487615,7.974332,6.56928,6.266566,5.587943,4.808368,5.049396,2.07168,2.306644,48.565146,70.068791,56.064373,63.589979,43.155439,39.269846,31.225108,23.1204,25.496398,4.291857,5.320606,1.158579,0,1.328994,1
d003u00007,6.51314,7.095722,7.208071,6.239154,5.598408,4.449113,5.240954,4.41609,3.664399,2.086059,0.361807,42.420999,50.349277,51.956283,38.927038,31.342176,19.794609,27.467595,19.501849,13.427819,4.351643,0.130904,0.4052,1,0.397575,0
d003u00008,9.370899,7.954798,8.239743,7.95415,7.424193,5.551535,5.384097,5.501383,4.988442,3.41349,1.912878,87.813744,63.278807,67.893364,63.268503,55.118648,30.819545,28.988502,30.26521,24.884551,11.651914,3.659102,0.32308,1,0.653269,2
d003u00009,8.76635,10.102691,8.377781,8.181988,8.610875,6.989993,6.281802,5.937555,5.080638,5.332469,4.908702,76.848885,102.064369,70.187221,66.944923,74.147171,48.860008,39.461033,35.254559,25.812884,28.435223,24.09536,1.852823,1,1.067089,4
d003u00010,8.129665,6.66107,7.773452,6.464523,5.954342,5.718425,5.815407,5.445377,3.534928,3.045667,2.930898,66.091456,44.369851,60.426562,41.790054,35.45419,32.700379,33.818958,29.652125,12.495719,9.276089,8.590163,-1.703121,0,1.374392,3
d003u00011,6.10712,7.083987,7.332617,5.915784,5.548577,5.838373,4.58485,4.333745,3.088739,2.617056,0.635946,37.296918,50.182877,53.76727,34.996495,30.786701,34.086603,21.020848,18.781349,9.540307,6.84898,0.404427,1.651521,0,2.894161,2
d003u00012,8.686236,8.851927,7.464483,7.482794,7.745762,6.701665,7.546821,4.775631,4.521335,4.447174,3.900911,75.450695,78.356603,55.718507,55.992205,59.996824,44.912313,56.954511,22.806653,20.442472,19.777359,15.217106,0.438083,0,2.330831,4
d003u00013,8.653294,7.615199,8.393068,7.461696,7.725206,7.012381,5.705774,5.150164,3.433048,3.637219,5.263825,74.879496,57.991256,70.443597,55.676902,59.67881,49.173489,32.555859,26.52419,11.785816,13.229364,27.707852,0.01005,1,2.445133,1
d003u00014,8.841289,7.004576,7.872342,8.300855,7.499746,6.707576,5.696429,4.08767,5.481533,3.560929,3.817982,78.1684,49.064081,61.973765,68.904198,56.246184,44.991581,32.449299,16.709045,30.047201,12.680214,14.57699,-1.59201,0,2.457127,3
d003u00015,8.554341,9.203523,7.843276,6.98671,7.065908,7.915249,5.564793,4.400194,3.783585,3.679342,3.753538,73.176749,84.70484,61.516985,48.814116,49.92706,62.65116,30.966925,19.361707,14.315515,13.537556,14.089046,0.931085,1,2.964744,3
d003u00016,9.058448,9.190103,9.444776,9.08674,8.917758,7.961972,6.965706,6.584438,6.049762,5.279455,4.602669,82.055476,84.457997,89.203796,82.568847,79.526409,63.393001,48.521066,43.354823,36.599621,27.87264,21.184558,0.02412,0,1.831431,4
d003u00017,7.792673,9.364043,7.548894,8.590555,8.791053,7.918513,8.011002,6.473659,6.289577,4.909057,3.625095,60.725755,87.685294,56.985807,73.797639,77.282616,62.702841,64.176161,41.908264,39.558778,24.098839,13.14131,0.054575,0,1.452958,0
d003u00018,8.169575,7.443538,6.899004,7.740587,6.383471,7.016939,6.11569,4.488515,3.140868,3.937222,4.35263,66.741957,55.406261,47.596257,59.916689,40.748703,49.237432,37.40167,20.146763,9.865051,15.501714,18.945391,-1.110809,0,0.942991,3
d003u00019,7.195528,7.772089,7.52114,6.30674,6.853356,5.464295,5.125798,4.176096,2.864216,1.609249,0.654598,51.775629,60.405368,56.567545,39.77497,46.968489,29.858516,26.273802,17.439778,8.203736,2.589682,0.428498,1.004226,1,2.890015,4
d003u00020,6.831987,8.262911,7.887783,7.103914,8.193786,7.669526,7.218917,5.304268,4.166329,4.615301,4.556831,46.676047,68.275697,62.217121,50.465589,67.138137,58.821632,52.112762,28.135254,17.358297,21.301007,20.764711,-0.034734,0,1.541482,0
d003u00021,6.821554,6.667384,6.887577,7.094707,6.079893,5.910647,6.723537,6.00026,3.701304,4.218997,1.443752,46.533599,44.454011,47.438723,50.334866,36.9651,34.935742,45.205952,36.003115,13.699654,17.799932,2.084419,-2.191834,0,2.538381,0
d003u00022,7.52239,7.648475,7.416592,7.16531,7.251175,6.036945,5.091879,4.836896,5.276154,3.679166,2.988513,56.586344,58.499167,55.005833,51.341661,52.579537,36.444707,25.927228,23.395563,27.837803,13.536262,8.931209,-0.787564,0,0.605971,3
d003u00023,8.025932,8.157266,7.294395,8.209011,7.411591,6.691222,4.615442,4.423166,3.78745,3.750281,2.682655,64.415581,66.54098,53.208195,67.387869,54.931677,44.772453,21.302308,19.564393,14.344778,14.064608,7.196639,0.693584,1,2.981476,1
d003u00024,9.497138,10.001846,8.857661,8.825806,7.277291,7.784336,8.670211,6.062048,5.849318,4.451039,3.305046,90.195635,100.036923,78.458156,77.894856,52.958962,60.595893,75.172565,36.748431,34.214517,19.811746,10.92333,0.742488,1,2.092195,2
d003u00025,8.384343,6.729838,6.188847,6.210213,6.008446,5.386655,6.347878,5.240187,2.852444,2.778697,1.251439,70.297215,45.29072,38.301826,38.566744,36.101427,29.016049,40.295551,27.459562,8.136435,7.721159,1.5661,-1.721563,1,1.980101,1
d003u00026,8.675884,8.551539,8.339577,7.967242,6.856292,7.227558,7.331953,6.378251,3.954127,3.583026,2.770402,75.270956,73.128825,69.548536,63.476946,47.008746,52.237599,53.75754,40.68209,15.635118,12.838073,7.675128,0.808887,1,0.309845,3
d003u00027,7.780921,7.878272,7.255572,6.743004,6.598081,5.468433,5.187787,4.898455,3.299792,3.791559,3.748901,60.542727,62.067163,52.643329,45.468103,43.534679,29.903755,26.91313,23.99486,10.88863,14.375921,14.054259,0.060608,0,1.772705,2
d003u00028,7.66183,8.263395,7.020937,7.331036,6.093157,6.145813,5.306599,4.689008,4.360952,3.334781,2.528535,58.703641,68.283699,49.293557,53.744092,37.126562,37.771019,28.159991,21.986796,19.017906,11.120764,6.39349,1.439738,1,1.009498,0
