case,point,lambda,a0,objective,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22
gaussian_a10_flat,2,0.599219412955,-0.349855785361,0.598472075654,0,0.0481648257457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaussian_a10_flat,12,0.236344483951,-2.75835425773,0.49106485293,0,0.36479211932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031087028733,0,0,0
gaussian_a10_flat,22,0.0932191345714,-4.34588936977,0.321868014784,0,0.833299928065,0,0,0,0,-0.128840345853,-0.036802098898,-0.00525453803803,-0.0364354156175,-0.0720237208874,0,0,0,0,-0.00543606248092,0,0,-0.013103131104,-0.0109975071767,0,0
gaussian_a10_flat,32,0.0367675475432,-5.46755105078,0.222757131842,-0.0652424752092,1.03965829546,0.194749873581,0,0,0,-0.0322187166504,-0.148547923135,-0.174606602093,-0.113206679062,-0.103749200558,0,0,0,0,-0.0131849347056,0,-0.0109320785482,-0.00641415197686,0,0,0
gaussian_a10_flat,42,0.0145018783811,-5.88050876186,0.174006050947,-0.113585683626,1.12330669007,0.286354767663,0,0,0,-0.014339522756,-0.203056788906,-0.204227307798,-0.146496847457,-0.100014865975,0,0,0,0,-0.0161441459316,0,-0.0136943642936,-0.00231086545953,0,0,-0.00219673207067
gaussian_a10_flat,52,0.00571983965838,-6.04078134303,0.153356132372,-0.133420011176,1.15877278485,0.321470929013,0,0,0,-0.00354251288272,-0.232557541225,-0.215993031933,-0.160083593437,-0.0918315081272,0,0,0,0.000297779683792,-0.0171821032226,-0.000783554624276,-0.0149360751131,0,0,0,-0.00408421411628
gaussian_a10_flat,62,0.00225602262396,-7.43694986993,0.142831298726,-0.151735589715,1.15857501882,0.669870525698,0,0,0.220391873651,-0.158882987135,-0.228527103958,-0.223239605685,-0.179397769435,-0.113798372182,0.00047390126088,0,-0.0229511909076,0.00210430638648,-0.0182311111494,-0.0174435967216,-0.00248613323606,0,0,0.00218206154844,0
gaussian_a10_flat,72,0.000889821810365,-7.93230955374,0.133561452587,-0.776208210481,1.14181290195,1.0553471294,-0.0500443053095,0.199589090545,0.651532209706,-0.194831894268,-0.222890406882,-0.231669802712,-0.341247955897,-0.061384559134,0.0411258682568,0,-0.0490704644702,0.00633118681339,-0.0326936400133,-0.0512657946652,0,0,0,0.0278124488505,-0.00873298869449
gaussian_a10_flat,82,0.000350964057626,-7.92190045355,0.129588360196,-0.971571242863,1.0476912073,1.32963282441,-0.251425918963,0.348704704544,0.780937897746,-0.196112324963,-0.307055620385,-0.152588933695,-0.380313340357,-0.0327478243551,0.0540894299025,0.00570944692291,-0.0673590345723,0.0195939244752,-0.043147621589,-0.0622046439514,0,0.00824211002445,-0.00939980725587,0.0346488117192,-0.0124556838468
gaussian_a10_flat,92,0.000138427456273,-7.91794767599,0.128083168288,-1.0428917945,0.993391538592,1.45395923291,-0.334868948402,0.40786998971,0.833427053844,-0.191837438285,-0.355601558407,-0.115453581328,-0.391553436679,-0.0231773573881,0.0588390649766,0.00908362383166,-0.0756158437961,0.0250867290046,-0.0472976877953,-0.066702474746,-0.000395876825214,0.0129797809046,-0.013783698503,0.0367429680351,-0.0135657480612
