unit,mean@2021-09-01T00:00:00Z,mean@2021-12-01T00:00:00Z,mean@2022-03-01T00:00:00Z,mean@2022-06-01T00:00:00Z,mean@2021-09-01T00:00:00Z^2,mean@2021-12-01T00:00:00Z^2,mean@2022-03-01T00:00:00Z^2,mean@2022-06-01T00:00:00Z^2,y,w,fold
u001,5.6520132589511709,-4.1552253510247885,-4.3857884735521298,5.9103026186379441,31.945253879359836,17.265897717799078,19.235140534742719,34.931677043878537,0,1,4
u002,5.3994073708352861,-4.9449874471283124,-4.708553427475934,5.2205828233553149,29.153599956230416,24.452900852256583,22.170475379395366,27.25448501551255,0,1,1
u003,5.6695130977295811,-4.8892203998230617,-4.227439908394043,5.4925417919820614,32.14337876532727,23.904476118045977,17.871248179082635,30.168015336669512,0,1,4
u004,5.0342776554955195,-5.0565335386447048,-5.1607002460231683,4.9730067463316745,25.343951512621466,25.568531427438739,26.632827029303591,24.730796099060349,0,1,1
u005,5.774119292357546,-4.5779567789174473,-4.979862968941732,5.3517165492888878,33.340453602375604,20.957688269636211,24.799035189437163,28.64087002393256,0,1,1
u006,6.7322937191931329,-3.4421455105026908,-3.5107558669520769,6.1716941714291274,45.323778721487308,11.848365715473831,12.325406757338429,38.089808945652265,0,1,3
u007,5.9407055115214371,-4.4945453501014789,-4.2287752744532892,5.3297600617435004,35.29198197462118,20.200937904118828,17.882540321827491,28.406342315756081,0,1,1
u008,4.4994436240585856,-5.796139825864687,-5.6619846040468476,4.4812032985015318,20.244992926081459,33.595236880974724,32.058069656463537,20.081183002501007,0,1,2
u009,3.153601772565644,-7.0721448768375845,-7.6525527723091278,2.5570688658188487,9.9452041399291726,50.015233158980095,58.561563932976121,6.5386011845400933,0,1,2
u010,6.0375129877408735,-3.9582912936262127,-4.2963808196585367,6.2167954648122921,36.451563077139731,15.668069965197077,18.458888147529759,38.648545851310679,0,1,1
u011,4.9113201868703795,-5.2876374265475743,-5.3363578497919786,4.949369188240424,24.121065977960498,27.959109554626654,28.476715101036469,24.496255361503675,0,1,3
u012,7.0473731341497299,-3.9431004700012862,-3.5215369463781001,6.5776873708230488,49.665468091935388,15.548041316524364,12.401222464705993,43.265971148285033,0,1,0
u013,4.1700159481281061,-6.4112210587558565,-6.11585711230844,3.7027691552903237,17.389033007642748,41.103755464234567,37.403708218173733,13.710499417369418,1,12.714285714285714,4
u014,2.9316226505783383,-7.0406797286896818,-7.5359765305543087,3.0614708409816607,8.5944113653839622,49.571171041981813,56.790942269065354,9.3726037101809574,0,1,4
u015,5.7750702232636071,-4.5389310338728537,-4.6013732486836556,5.5039732662003846,33.35143608362597,20.601894930254094,21.172635773701579,30.29372171504853,0,1,0
u016,5.2006992490783146,-5.1174903368226063,-4.9398583113101697,5.0674630237444713,27.047272679363747,26.188707347472754,24.402200135820163,25.67918149701746,0,1,2
u017,4.693771260795315,-5.4669552239734278,-5.8238477883013982,4.6670879731616814,22.031488648668041,29.887599420930353,33.917203061303084,21.781710149230413,0,1,0
u018,4.5488002627109196,-5.2036010427056096,-5.3540685522827234,5.078287625303032,20.691583830038933,27.077463811646908,28.666050062542819,25.789005205305909,1,12.714285714285714,3
u019,6.4940569202291334,-3.4638871084001028,-3.714384872048103,6.0675322765081283,42.172775283175895,11.998513899740425,13.796654977699802,36.814947926467909,0,1,1
u020,6.0209110399375492,-3.7057406900749474,-4.1939749279463969,5.739970710459974,36.25136975084186,13.732514062077147,17.589425696242984,32.947263756938376,0,1,4
u021,6.0602777128584133,-4.2217696716420772,-4.6331959953608202,6.4601524526133005,36.726965956968399,17.823339160396852,21.466505131427542,41.733569711005643,0,1,0
u022,6.2125743445778419,-3.9117705139638068,-4.5629226632464563,5.6561240242401176,38.596079986906801,15.301948553916665,20.820263230768134,31.991738977586223,0,1,0
u023,4.9165308652894728,-5.4221326687341662,-5.0980427730964797,5.1754875475087028,24.172275749344053,29.399522677354291,25.990040116321243,26.785671354417648,0,1,3
u024,4.9153645389110974,-4.866951645339304,-5.5545086622680619,5.1910997302050434,24.160808550384704,23.687218318070958,30.852566479210935,26.947516408934874,0,1,1
u025,5.0954131364962789,-5.2442314204447671,-5.5458188177610168,4.9343019029502617,25.963235031578847,27.501963191180138,30.756106359432202,24.347335269458576,0,1,2
u026,7.0413209335045126,-2.5005255674754365,-2.5335273116848898,7.8064837681417485,49.58020048860886,6.2526281135983535,6.4187606390532643,60.941188822260592,0,1,2
u027,3.7536846904553109,-6.6418157980156129,-6.3305034103068563,3.7041747941595071,14.090148755358584,44.113717094769775,40.075273427906737,13.720910905686626,0,1,2
u028,4.4390604885027027,-5.3682328974136544,-5.7211028325894198,4.5395933478562496,19.705258020585855,28.817924440874197,32.731017621062684,20.607907763900712,0,1,2
u029,4.0374884287544868,-6.0851759251869177,-6.1826269849511286,4.0526401856997696,16.301312812326373,37.029366040474457,38.224876435045886,16.423892474748662,0,1,3
u030,4.0598066846837852,-6.0463927085703242,-5.9474412511293941,4.2444922563354881,16.482030317003147,36.558864786252379,35.372057435635575,18.015714514091922,0,1,1
u031,6.105933520598124,-3.9149800919010413,-4.1800223859438717,5.6482318188039189,37.282424157963803,15.327069119981486,17.472587146991899,31.902522678949026,0,1,4
u032,5.2824669232193697,-4.9165962154360709,-5.1492589985820052,5.4334988861486799,27.904456794906714,24.172918345640294,26.514868234477756,29.522910145778944,0,1,4
u033,4.9714823939615762,-4.8773666704140819,-5.2182284254647273,4.7466497054631711,24.715637193469924,23.788705637666148,27.229907900328087,22.53068342637361,0,1,2
u034,6.3292632301970073,-4.1336394998739241,-3.895092469214704,6.126804345452241,40.059573037123855,17.086975514917945,15.1717453437331,37.537731487452461,0,1,4
u035,4.5140091624831333,-5.7575017775764437,-5.8295867487584392,4.4577954856979156,20.376278718981681,33.14882671879591,33.984081661299989,19.871940592308714,0,1,0
u036,4.7954712842282472,-5.2589039042378793,-5.351661770289514,4.6092891448856914,22.996544837857716,27.65607027400841,28.640283703578294,21.24554642116107,0,1,1
u037,5.1441299230495696,-4.8561007280793467,-4.4945564855126872,5.6375053811115832,26.46207266521397,23.581714281252761,20.201038001464159,31.781466922062055,0,1,3
u038,4.1918967283527291,-5.4686710191976209,-5.5118497382353508,4.6049099420595141,17.571998181174315,29.906362716211945,30.380487536885106,21.205195574478559,0,1,1
u039,6.0088532539582218,-3.7817714186215343,-4.5005317513728462,5.8931205380603986,36.10631742760431,14.301795062702732,20.254786045115139,34.728869676109284,0,1,0
u040,4.9382548865310012,-5.4331442769969494,-5.5979409363031225,4.6282722477706191,24.386361324347313,29.519056734664705,31.336942726338279,21.420903999483698,0,1,0
u041,3.0935615494477058,-6.3381418193117911,-7.3069428145111468,3.7851802522499138,9.5701230602212899,40.172041721708979,53.391413294536079,14.327589542022722,0,1,4
u042,2.4843352302168871,-7.0850670348725844,-7.6228523823885981,2.5889322266019623,6.1719215360967929,50.198174888638192,58.107878443687525,6.7025700739381939,0,1,4
u043,5.7641429728348976,-4.7688280453712766,-4.6545484015232974,5.9735780177846571,33.225344211281929,22.74172092631963,21.664820822123083,35.683634334560075,0,1,0
u044,4.3177369151032785,-6.2241581868395794,-5.906666184683818,4.0206940722987188,18.642852068045578,38.740145134802162,34.888705417287291,16.165980823018057,0,1,4
u045,4.6810790956606896,-5.432127406488755,-5.7138346882684159,4.6316614863635559,21.9125014998315,29.508008160326249,32.647906844859428,21.452288124263465,0,1,2
u046,4.6457257421983256,-5.1532186836772746,-5.4101830338789014,4.4941810713337107,21.582767671724184,26.555662801800544,29.270080460071114,20.197663501934219,0,1,4
u047,5.4815172950569231,-4.2570350108898243,-4.6357041746839212,5.5095713206673151,30.047031856008168,18.122347083941726,21.489753195181933,30.355376137519784,0,1,0
u048,3.8563075319675466,-5.9862057187220321,-6.2099007774920736,4.0389496759799766,14.871107781109631,35.834658906860362,38.562867666296661,16.313114485098758,0,1,2
u049,5.2059723194339576,-4.6924589474241563,-5.4116248188063452,5.0941322161757192,27.102147790712579,22.019170973261019,29.285683179520809,25.950183035879345,0,1,3
u050,5.1073740039489799,-5.5784311657361858,-5.1320908216603156,4.8237153296149584,26.085269216213835,31.118894270856782,26.338356201770054,23.268229581162348,0,1,1
u051,5.3834369315900332,-4.8279023128109841,-5.3357749309092499,4.9810952656076219,28.981393196407513,23.30864074204565,28.47049411331961,24.811310045058665,0,1,0
u052,3.9658608986483421,-5.90757826173847,-6.0560085948005229,4.1749894380079366,15.728052667427836,34.899480918564926,36.675240100297806,17.430536807477825,1,12.714285714285714,3
u053,5.995097009327516,-3.8375157050159179,-4.3950088927225268,5.5536203227587038,35.941188151247729,14.726526786243817,19.316103167110093,30.842698689358489,1,12.714285714285714,2
u054,6.1826241314394519,-3.8239109652062768,-4.0597919420203885,6.3870686711760118,38.22484115065744,14.6222950698248,16.481910612493678,40.794646210318106,0,1,2
u055,5.9249066976798188,-4.0270632275198128,-4.4865983768522986,5.5969269031194564,35.104519376211179,16.217238238442292,20.129564995173681,31.325590758862347,1,12.714285714285714,0
u056,5.4214354735388497,-4.7223904499802734,-4.8579323935873608,5.0944061610254883,29.391962593745411,22.300971562064888,23.599507140665423,25.952974133494454,0,1,1
u057,5.3684805119171415,-4.5355475672326042,-4.073282950493498,5.5370113930813263,28.820583006834134,20.571191734629593,16.591633994781017,30.65849516711241,0,1,3
u058,4.1069649348319146,-5.750116352663647,-5.5382538221043971,4.1812050750218832,16.867160975938912,33.063838069169883,30.672255398053963,17.482475879388751,0,1,4
u059,6.310135837601015,-3.8930089083516255,-3.8923746283996716,6.2432034923139863,39.817814288976663,15.155518360505114,15.150580247809481,38.977589846441553,0,1,3
