id,time,value
p01,2021-09-01T00:00:00Z,-6.222332
p01,2021-09-01T01:00:00Z,-5.044219
p01,2021-09-01T02:00:00Z,-5.167671
p01,2021-09-01T03:00:00Z,-4.839897
p01,2021-09-01T04:00:00Z,-4.167949
p01,2021-09-01T05:00:00Z,-4.003968
p01,2021-09-01T06:00:00Z,-3.089408
p01,2021-09-01T07:00:00Z,-3.271008
p01,2021-09-01T08:00:00Z,-5.494894
p01,2021-09-01T09:00:00Z,-5.060424
p01,2021-09-01T10:00:00Z,-6.474529
p01,2021-09-01T11:00:00Z,-6.941505
p01,2021-09-01T12:00:00Z,-7.846570
p01,2021-09-01T13:00:00Z,-8.022176
p01,2021-09-01T14:00:00Z,-8.757576
p01,2021-09-01T15:00:00Z,-9.264846
p01,2021-09-01T16:00:00Z,-9.607859
p01,2021-09-01T17:00:00Z,-10.598042
p01,2021-09-01T18:00:00Z,-9.521475
p01,2021-09-01T19:00:00Z,-8.800403
p01,2021-09-01T20:00:00Z,-9.001820
p01,2021-09-01T21:00:00Z,-8.288467
p01,2021-09-01T22:00:00Z,-8.592043
p01,2021-09-01T23:00:00Z,-7.071354
p01,2021-09-02T00:00:00Z,-6.981753
p01,2021-09-02T01:00:00Z,-5.588675
p01,2021-09-02T02:00:00Z,-4.713409
p01,2021-09-02T03:00:00Z,-3.774401
p01,2021-09-02T04:00:00Z,-4.077069
p01,2021-09-02T05:00:00Z,-4.422803
p01,2021-09-02T06:00:00Z,-4.006882
p01,2021-09-02T07:00:00Z,-4.123434
p01,2021-09-02T08:00:00Z,-4.815722
p01,2021-09-02T09:00:00Z,-4.761369
p01,2021-09-02T10:00:00Z,-6.007096
p01,2021-09-02T11:00:00Z,-6.870390
p01,2021-09-02T12:00:00Z,-7.800501
p01,2021-09-02T13:00:00Z,-8.447701
p01,2021-09-02T14:00:00Z,-9.276088
p01,2021-09-02T15:00:00Z,-9.075312
p01,2021-09-02T16:00:00Z,-10.670036
p01,2021-09-02T17:00:00Z,-10.030355
p01,2021-09-02T18:00:00Z,-10.331924
p01,2021-09-02T19:00:00Z,-9.345434
p01,2021-09-02T20:00:00Z,-9.430954
p01,2021-09-02T21:00:00Z,-7.974566
p01,2021-09-02T22:00:00Z,-8.509120
p01,2021-09-02T23:00:00Z,-6.996027
p01,2021-09-03T00:00:00Z,-6.120485
p01,2021-09-03T01:00:00Z,-5.322795
p01,2021-09-03T02:00:00Z,-5.056007
p01,2021-09-03T03:00:00Z,-4.219856
p01,2021-09-03T04:00:00Z,-3.477595
p01,2021-09-03T05:00:00Z,-4.458243
p01,2021-09-03T06:00:00Z,-4.688625
p01,2021-09-03T07:00:00Z,-3.159311
p01,2021-09-03T08:00:00Z,-4.431389
p01,2021-09-03T09:00:00Z,-5.884015
p01,2021-09-03T10:00:00Z,-6.193876
p01,2021-09-03T11:00:00Z,-7.276691
p01,2021-09-03T12:00:00Z,-7.905238
p01,2021-09-03T13:00:00Z,-8.822049
p01,2021-09-03T14:00:00Z,-10.450734
p01,2021-09-03T15:00:00Z,-10.356864
p01,2021-09-03T16:00:00Z,-9.161737
p01,2021-09-03T17:00:00Z,-10.667498
p01,2021-09-03T18:00:00Z,-9.105730
p01,2021-09-03T19:00:00Z,-9.197205
p01,2021-09-03T20:00:00Z,-9.191352
p01,2021-09-03T21:00:00Z,-9.111087
p01,2021-09-03T22:00:00Z,-7.360745
p01,2021-09-03T23:00:00Z,-7.428500
p01,2021-09-04T00:00:00Z,-6.092820
p01,2021-09-04T01:00:00Z,-4.923285
p01,2021-09-04T02:00:00Z,-5.335283
p01,2021-09-04T03:00:00Z,-4.411106
p01,2021-09-04T04:00:00Z,-3.601699
p01,2021-09-04T05:00:00Z,-4.507059
p01,2021-09-04T06:00:00Z,-3.750238
p01,2021-09-04T07:00:00Z,-3.524172
p01,2021-09-04T08:00:00Z,-4.841595
p01,2021-09-04T09:00:00Z,-5.525765
p01,2021-09-04T10:00:00Z,-6.631981
p01,2021-09-04T11:00:00Z,-7.562600
p01,2021-09-04T12:00:00Z,-8.234976
p01,2021-09-04T13:00:00Z,-7.979639
p01,2021-09-04T14:00:00Z,-9.054186
p01,2021-09-04T15:00:00Z,-9.722726
p01,2021-09-04T16:00:00Z,-10.130516
p01,2021-09-04T17:00:00Z,-9.508583
p01,2021-09-04T18:00:00Z,-9.749434
p01,2021-09-04T19:00:00Z,-9.052127
p01,2021-09-04T20:00:00Z,-9.182921
p01,2021-09-04T21:00:00Z,-8.070262
p01,2021-09-04T22:00:00Z,-7.582003
p01,2021-09-04T23:00:00Z,-7.376745
p01,2021-09-05T00:00:00Z,-5.836756
p01,2021-09-05T01:00:00Z,-5.691706
p01,2021-09-05T02:00:00Z,-5.040683
p01,2021-09-05T03:00:00Z,-3.821309
p01,2021-09-05T04:00:00Z,-3.495569
p01,2021-09-05T05:00:00Z,-4.084398
p01,2021-09-05T06:00:00Z,-4.168196
p01,2021-09-05T07:00:00Z,-3.619372
p01,2021-09-05T08:00:00Z,-4.693431
p01,2021-09-05T09:00:00Z,-5.872324
p01,2021-09-05T10:00:00Z,-5.738302
p01,2021-09-05T11:00:00Z,-7.035029
p01,2021-09-05T12:00:00Z,-8.074881
p01,2021-09-05T13:00:00Z,-8.298898
p01,2021-09-05T14:00:00Z,-9.472922
p01,2021-09-05T15:00:00Z,-8.601792
p01,2021-09-05T16:00:00Z,-9.692851
p01,2021-09-05T17:00:00Z,-10.642443
p01,2021-09-05T18:00:00Z,-10.191836
p01,2021-09-05T19:00:00Z,-9.133473
p01,2021-09-05T20:00:00Z,-8.961416
p01,2021-09-05T21:00:00Z,-7.863413
p01,2021-09-05T22:00:00Z,-8.013866
p01,2021-09-05T23:00:00Z,-6.436575
p01,2021-09-06T00:00:00Z,-5.999386
p01,2021-09-06T01:00:00Z,-6.073811
p01,2021-09-06T02:00:00Z,-4.955879
p01,2021-09-06T03:00:00Z,-4.874971
p01,2021-09-06T04:00:00Z,-4.718056
p01,2021-09-06T05:00:00Z,-4.523266
p01,2021-09-06T06:00:00Z,-3.533752
p01,2021-09-06T07:00:00Z,-4.462291
p01,2021-09-06T08:00:00Z,-3.905078
p01,2021-09-06T09:00:00Z,-4.721523
p01,2021-09-06T10:00:00Z,-6.472377
p01,2021-09-06T11:00:00Z,-6.795107
p01,2021-09-06T12:00:00Z,-7.659334
p01,2021-09-06T13:00:00Z,-7.806474
p01,2021-09-06T14:00:00Z,-8.598462
p01,2021-09-06T15:00:00Z,-9.298409
p01,2021-09-06T16:00:00Z,-9.868147
p01,2021-09-06T17:00:00Z,-10.784827
p01,2021-09-06T18:00:00Z,-9.163444
p01,2021-09-06T19:00:00Z,-8.809310
p01,2021-09-06T20:00:00Z,-9.183544
p01,2021-09-06T21:00:00Z,-8.737504
p01,2021-09-06T22:00:00Z,-8.108259
p01,2021-09-06T23:00:00Z,-6.497802
p01,2021-09-07T00:00:00Z,-5.446277
p01,2021-09-07T01:00:00Z,-5.807445
p01,2021-09-07T02:00:00Z,-4.524551
p01,2021-09-07T03:00:00Z,-5.205953
p01,2021-09-07T04:00:00Z,-4.778397
p01,2021-09-07T05:00:00Z,-3.223507
p01,2021-09-07T06:00:00Z,-3.931200
p01,2021-09-07T07:00:00Z,-4.532454
p01,2021-09-07T08:00:00Z,-4.408847
p01,2021-09-07T09:00:00Z,-5.231091
p01,2021-09-07T10:00:00Z,-5.854258
p01,2021-09-07T11:00:00Z,-6.898124
p01,2021-09-07T12:00:00Z,-8.970491
p01,2021-09-07T13:00:00Z,-8.419054
p01,2021-09-07T14:00:00Z,-7.487152
p01,2021-09-07T15:00:00Z,-10.725007
p01,2021-09-07T16:00:00Z,-9.847137
p01,2021-09-07T17:00:00Z,-8.174791
p01,2021-09-07T18:00:00Z,-10.348274
p01,2021-09-07T19:00:00Z,-8.773812
p01,2021-09-07T20:00:00Z,-9.952419
p01,2021-09-07T21:00:00Z,-8.916970
p01,2021-09-07T22:00:00Z,-7.580791
p01,2021-09-07T23:00:00Z,-7.542402
p01,2021-09-08T00:00:00Z,-6.022602
p01,2021-09-08T01:00:00Z,-5.248922
p01,2021-09-08T02:00:00Z,-4.765722
p01,2021-09-08T03:00:00Z,-3.584130
p01,2021-09-08T04:00:00Z,-4.229065
p01,2021-09-08T05:00:00Z,-3.676243
p01,2021-09-08T06:00:00Z,-3.937904
p01,2021-09-08T07:00:00Z,-4.453062
p01,2021-09-08T08:00:00Z,-6.036409
p01,2021-09-08T09:00:00Z,-5.264395
p01,2021-09-08T10:00:00Z,-6.275830
p01,2021-09-08T11:00:00Z,-7.218272
p01,2021-09-08T12:00:00Z,-7.858984
p01,2021-09-08T13:00:00Z,-8.108861
p01,2021-09-08T14:00:00Z,-10.486153
p01,2021-09-08T15:00:00Z,-9.106751
p01,2021-09-08T16:00:00Z,-9.516993
