id,time,value
p01,2021-10-17T05:00:00Z,-5.434447
p01,2021-10-17T06:00:00Z,-6.082300
p01,2021-10-17T07:00:00Z,-4.695765
p01,2021-10-17T08:00:00Z,-4.219198
p01,2021-10-17T09:00:00Z,-4.052182
p01,2021-10-17T10:00:00Z,-4.213216
p01,2021-10-17T11:00:00Z,-4.107387
p01,2021-10-17T12:00:00Z,-4.099963
p01,2021-10-17T13:00:00Z,-4.062000
p01,2021-10-17T14:00:00Z,-5.689201
p01,2021-10-17T15:00:00Z,-7.403080
p01,2021-10-17T16:00:00Z,-6.109904
p01,2021-10-17T17:00:00Z,-7.726297
p01,2021-10-17T18:00:00Z,-8.813347
p01,2021-10-17T19:00:00Z,-8.924697
p01,2021-10-17T20:00:00Z,-9.379385
p01,2021-10-17T21:00:00Z,-9.898219
p01,2021-10-17T22:00:00Z,-9.993712
p01,2021-10-17T23:00:00Z,-9.374144
p01,2021-10-18T00:00:00Z,-9.552862
p01,2021-10-18T01:00:00Z,-8.727019
p01,2021-10-18T02:00:00Z,-8.717195
p01,2021-10-18T03:00:00Z,-8.153442
p01,2021-10-18T04:00:00Z,-6.995046
p01,2021-10-18T05:00:00Z,-6.152600
p01,2021-10-18T06:00:00Z,-5.490587
p01,2021-10-18T07:00:00Z,-4.929608
p01,2021-10-18T08:00:00Z,-4.286838
p01,2021-10-18T09:00:00Z,-3.769081
p01,2021-10-18T10:00:00Z,-4.815491
p01,2021-10-18T11:00:00Z,-4.472694
p01,2021-10-18T12:00:00Z,-4.262753
p01,2021-10-18T13:00:00Z,-4.503752
p01,2021-10-18T14:00:00Z,-5.430442
p01,2021-10-18T15:00:00Z,-6.759653
p01,2021-10-18T16:00:00Z,-7.468391
p01,2021-10-18T17:00:00Z,-8.086999
p01,2021-10-18T18:00:00Z,-8.431478
p01,2021-10-18T19:00:00Z,-9.554358
p01,2021-10-18T20:00:00Z,-10.134052
p01,2021-10-18T21:00:00Z,-9.640035
p01,2021-10-18T22:00:00Z,-10.427116
p01,2021-10-18T23:00:00Z,-9.572703
p01,2021-10-19T00:00:00Z,-9.217142
p01,2021-10-19T01:00:00Z,-9.142317
p01,2021-10-19T02:00:00Z,-8.891549
p01,2021-10-19T03:00:00Z,-7.575513
p01,2021-10-19T04:00:00Z,-7.587190
p01,2021-10-19T05:00:00Z,-5.871811
p01,2021-10-19T06:00:00Z,-4.796689
p01,2021-10-19T07:00:00Z,-5.189011
p01,2021-10-19T08:00:00Z,-3.970104
p01,2021-10-19T09:00:00Z,-4.179948
p01,2021-10-19T10:00:00Z,-4.133273
p01,2021-10-19T11:00:00Z,-3.976518
p01,2021-10-19T12:00:00Z,-5.031886
p01,2021-10-19T13:00:00Z,-5.380555
p01,2021-10-19T14:00:00Z,-5.663341
p01,2021-10-19T15:00:00Z,-5.978071
p01,2021-10-19T16:00:00Z,-6.021455
p01,2021-10-19T17:00:00Z,-7.744656
p01,2021-10-19T18:00:00Z,-9.015139
p01,2021-10-19T19:00:00Z,-9.375445
p01,2021-10-19T20:00:00Z,-9.613852
p01,2021-10-19T21:00:00Z,-9.457576
p01,2021-10-19T22:00:00Z,-10.140644
p01,2021-10-19T23:00:00Z,-9.828590
p01,2021-10-20T00:00:00Z,-9.338511
p01,2021-10-20T01:00:00Z,-9.592299
p01,2021-10-20T02:00:00Z,-8.240146
p01,2021-10-20T03:00:00Z,-7.131322
p01,2021-10-20T04:00:00Z,-7.069406
p01,2021-10-20T05:00:00Z,-6.553981
p01,2021-10-20T06:00:00Z,-6.395373
p01,2021-10-20T07:00:00Z,-5.106688
p01,2021-10-20T08:00:00Z,-4.926644
p01,2021-10-20T09:00:00Z,-4.252821
p01,2021-10-20T10:00:00Z,-3.879574
p01,2021-10-20T11:00:00Z,-3.043126
p01,2021-10-20T12:00:00Z,-4.605495
p01,2021-10-20T13:00:00Z,-4.439753
p01,2021-10-20T14:00:00Z,-5.254601
p01,2021-10-20T15:00:00Z,-6.077296
p01,2021-10-20T16:00:00Z,-7.148975
p01,2021-10-20T17:00:00Z,-8.191014
p01,2021-10-20T18:00:00Z,-8.790107
p01,2021-10-20T19:00:00Z,-8.789377
p01,2021-10-20T20:00:00Z,-11.074240
p01,2021-10-20T21:00:00Z,-10.412987
p01,2021-10-20T22:00:00Z,-9.817411
p01,2021-10-20T23:00:00Z,-9.263152
p01,2021-10-21T00:00:00Z,-9.234137
p01,2021-10-21T01:00:00Z,-8.960062
p01,2021-10-21T02:00:00Z,-8.858442
p01,2021-10-21T03:00:00Z,-6.892711
p01,2021-10-21T04:00:00Z,-7.062557
p01,2021-10-21T05:00:00Z,-6.324605
p01,2021-10-21T06:00:00Z,-5.435306
p01,2021-10-21T07:00:00Z,-4.625283
p01,2021-10-21T08:00:00Z,-4.436967
p01,2021-10-21T09:00:00Z,-4.372688
p01,2021-10-21T10:00:00Z,-4.393742
p01,2021-10-21T11:00:00Z,-4.585403
p01,2021-10-21T12:00:00Z,-3.784401
p01,2021-10-21T13:00:00Z,-5.099304
p01,2021-10-21T14:00:00Z,-4.983912
p01,2021-10-21T15:00:00Z,-6.177486
p01,2021-10-21T16:00:00Z,-8.725939
p01,2021-10-21T17:00:00Z,-7.457174
p01,2021-10-21T18:00:00Z,-9.181149
p01,2021-10-21T19:00:00Z,-8.775762
p01,2021-10-21T20:00:00Z,-9.785357
p01,2021-10-21T21:00:00Z,-10.074978
p01,2021-10-21T22:00:00Z,-10.106060
p01,2021-10-21T23:00:00Z,-10.081583
p01,2021-10-22T00:00:00Z,-9.427381
p01,2021-10-22T01:00:00Z,-10.230293
p01,2021-10-22T02:00:00Z,-8.536036
p01,2021-10-22T03:00:00Z,-7.854420
p01,2021-10-22T04:00:00Z,-7.162076
p01,2021-10-22T05:00:00Z,-6.108658
p01,2021-10-22T06:00:00Z,-4.402901
p01,2021-10-22T07:00:00Z,-5.517285
p01,2021-10-22T08:00:00Z,-4.612797
p01,2021-10-22T09:00:00Z,-3.241393
p01,2021-10-22T10:00:00Z,-4.301484
p01,2021-10-22T11:00:00Z,-4.204194
p01,2021-10-22T12:00:00Z,-5.078592
p01,2021-10-22T13:00:00Z,-4.796244
p01,2021-10-22T14:00:00Z,-5.679399
p01,2021-10-22T15:00:00Z,-5.902950
p01,2021-10-22T16:00:00Z,-7.100547
p01,2021-10-22T17:00:00Z,-7.604676
p01,2021-10-22T18:00:00Z,-7.838018
p01,2021-10-22T19:00:00Z,-8.655825
p01,2021-10-22T20:00:00Z,-9.748662
p01,2021-10-22T21:00:00Z,-9.196800
p01,2021-10-22T22:00:00Z,-10.496877
p01,2021-10-22T23:00:00Z,-9.873222
p01,2021-10-23T00:00:00Z,-9.979776
p01,2021-10-23T01:00:00Z,-8.673405
