id,time,value
a1,2021-09-01T00:00:00Z,-5.865578
a1,2021-09-01T01:00:00Z,-5.526391
a1,2021-09-01T02:00:00Z,-5.529292
a1,2021-09-01T03:00:00Z,-3.930231
a1,2021-09-01T04:00:00Z,-3.951469
a1,2021-09-01T05:00:00Z,-4.152306
a1,2021-09-01T06:00:00Z,-3.616457
a1,2021-09-01T07:00:00Z,-5.262137
a1,2021-09-01T08:00:00Z,-5.590069
a1,2021-09-01T09:00:00Z,-5.065051
a1,2021-09-01T10:00:00Z,-5.992376
a1,2021-09-01T11:00:00Z,-7.792074
a1,2021-09-01T12:00:00Z,-7.646249
a1,2021-09-01T13:00:00Z,-8.395862
a1,2021-09-01T14:00:00Z,-9.162227
a1,2021-09-01T15:00:00Z,-9.185309
a1,2021-09-01T16:00:00Z,-9.934573
a1,2021-09-01T17:00:00Z,-9.679295
a1,2021-09-01T18:00:00Z,-9.184812
a1,2021-09-01T19:00:00Z,-9.578703
a1,2021-09-01T20:00:00Z,-8.075036
a1,2021-09-01T21:00:00Z,-8.707127
a1,2021-09-01T22:00:00Z,-7.769830
a1,2021-09-01T23:00:00Z,-5.964168
a1,2021-09-02T00:00:00Z,-6.545434
a1,2021-09-02T01:00:00Z,-5.442825
a1,2021-09-02T02:00:00Z,-4.665176
a1,2021-09-02T03:00:00Z,-4.021857
a1,2021-09-02T04:00:00Z,-4.400588
a1,2021-09-02T05:00:00Z,-3.410621
a1,2021-09-02T06:00:00Z,-4.233308
a1,2021-09-02T07:00:00Z,-4.703541
a1,2021-09-02T08:00:00Z,-5.277251
a1,2021-09-02T09:00:00Z,-5.313369
a1,2021-09-02T10:00:00Z,-6.553719
a1,2021-09-02T11:00:00Z,-7.642850
a1,2021-09-02T12:00:00Z,-7.092137
a1,2021-09-02T13:00:00Z,-8.562104
a1,2021-09-02T14:00:00Z,-9.214283
a1,2021-09-02T15:00:00Z,-10.091807
a1,2021-09-02T16:00:00Z,-9.652593
a1,2021-09-02T17:00:00Z,-10.325255
a1,2021-09-02T18:00:00Z,-10.634282
a1,2021-09-02T19:00:00Z,-10.763591
a1,2021-09-02T20:00:00Z,-8.915541
a1,2021-09-02T21:00:00Z,-7.930418
a1,2021-09-02T22:00:00Z,-7.897472
a1,2021-09-02T23:00:00Z,-7.292518
a1,2021-09-03T00:00:00Z,-5.653710
a1,2021-09-03T01:00:00Z,-5.697102
a1,2021-09-03T02:00:00Z,-4.879215
a1,2021-09-03T03:00:00Z,-4.563150
a1,2021-09-03T04:00:00Z,-2.701107
a1,2021-09-03T05:00:00Z,-3.301256
a1,2021-09-03T06:00:00Z,-4.745031
a1,2021-09-03T07:00:00Z,-4.791864
a1,2021-09-03T08:00:00Z,-4.969571
a1,2021-09-03T09:00:00Z,-4.813671
a1,2021-09-03T10:00:00Z,-6.319617
a1,2021-09-03T11:00:00Z,-7.245254
a1,2021-09-03T12:00:00Z,-6.681780
a1,2021-09-03T13:00:00Z,-8.801180
a1,2021-09-03T14:00:00Z,-8.920812
a1,2021-09-03T15:00:00Z,-10.114414
a1,2021-09-03T16:00:00Z,-11.191145
a1,2021-09-03T17:00:00Z,-9.490503
a1,2021-09-03T18:00:00Z,-10.045727
a1,2021-09-03T19:00:00Z,-9.536854
a1,2021-09-03T20:00:00Z,-8.495782
a1,2021-09-03T21:00:00Z,-8.567734
a1,2021-09-03T22:00:00Z,-7.366913
a1,2021-09-03T23:00:00Z,-7.262052
a1,2021-09-04T00:00:00Z,-6.150280
a1,2021-09-04T01:00:00Z,-5.073158
a1,2021-09-04T02:00:00Z,-5.387323
a1,2021-09-04T03:00:00Z,-4.307274
a1,2021-09-04T04:00:00Z,-3.588399
a1,2021-09-04T05:00:00Z,-4.257876
a1,2021-09-04T06:00:00Z,-4.424255
a1,2021-09-04T07:00:00Z,-4.899221
a1,2021-09-04T08:00:00Z,-4.771976
a1,2021-09-04T09:00:00Z,-5.000295
a1,2021-09-04T10:00:00Z,-6.134644
a1,2021-09-04T11:00:00Z,-7.436424
a1,2021-09-04T12:00:00Z,-7.462241
a1,2021-09-04T13:00:00Z,-8.922281
a1,2021-09-04T14:00:00Z,-9.629040
a1,2021-09-04T15:00:00Z,-9.361008
a1,2021-09-04T16:00:00Z,-10.452690
a1,2021-09-04T17:00:00Z,-9.500237
a1,2021-09-04T18:00:00Z,-8.928470
a1,2021-09-04T19:00:00Z,-9.751255
a1,2021-09-04T20:00:00Z,-9.057804
a1,2021-09-04T21:00:00Z,-8.993262
a1,2021-09-04T22:00:00Z,-8.173942
a1,2021-09-04T23:00:00Z,-6.630651
a1,2021-09-05T00:00:00Z,-5.639891
a1,2021-09-05T01:00:00Z,-5.356125
a1,2021-09-05T02:00:00Z,-5.964358
a1,2021-09-05T03:00:00Z,-4.808476
a1,2021-09-05T04:00:00Z,-4.826183
a1,2021-09-05T05:00:00Z,-3.742975
a1,2021-09-05T06:00:00Z,-4.285553
a1,2021-09-05T07:00:00Z,-5.004680
a1,2021-09-05T08:00:00Z,-5.048287
a1,2021-09-05T09:00:00Z,-6.028922
a1,2021-09-05T10:00:00Z,-6.063648
a1,2021-09-05T11:00:00Z,-6.956108
a1,2021-09-05T12:00:00Z,-7.728184
a1,2021-09-05T13:00:00Z,-8.322714
a1,2021-09-05T14:00:00Z,-9.484526
a1,2021-09-05T15:00:00Z,-9.822388
a1,2021-09-05T16:00:00Z,-9.879174
a1,2021-09-05T17:00:00Z,-10.228757
a1,2021-09-05T18:00:00Z,-10.492400
a1,2021-09-05T19:00:00Z,-10.137970
a1,2021-09-05T20:00:00Z,-10.140464
a1,2021-09-05T21:00:00Z,-7.980902
a1,2021-09-05T22:00:00Z,-6.602304
a1,2021-09-05T23:00:00Z,-6.709053
a1,2021-09-06T00:00:00Z,-5.972684
a1,2021-09-06T01:00:00Z,-5.504022
a1,2021-09-06T02:00:00Z,-4.253693
a1,2021-09-06T03:00:00Z,-4.718037
a1,2021-09-06T04:00:00Z,-4.495138
a1,2021-09-06T05:00:00Z,-4.007663
a1,2021-09-06T06:00:00Z,-4.329496
a1,2021-09-06T07:00:00Z,-4.509553
a1,2021-09-06T08:00:00Z,-5.471036
a1,2021-09-06T09:00:00Z,-5.152306
a1,2021-09-06T10:00:00Z,-6.361998
a1,2021-09-06T11:00:00Z,-6.222279
a1,2021-09-06T12:00:00Z,-7.814438
a1,2021-09-06T13:00:00Z,-8.859645
a1,2021-09-06T14:00:00Z,-9.888807
a1,2021-09-06T15:00:00Z,-9.648628
a1,2021-09-06T16:00:00Z,-9.829390
a1,2021-09-06T17:00:00Z,-9.688293
a1,2021-09-06T18:00:00Z,-8.872761
a1,2021-09-06T19:00:00Z,-10.311498
a1,2021-09-06T20:00:00Z,-9.887735
a1,2021-09-06T21:00:00Z,-8.061337
a1,2021-09-06T22:00:00Z,-7.756887
a1,2021-09-06T23:00:00Z,-5.992358
a1,2021-09-07T00:00:00Z,-5.845022
a1,2021-09-07T01:00:00Z,-5.596233
a1,2021-09-07T02:00:00Z,-6.145805
a1,2021-09-07T03:00:00Z,-3.693776
a1,2021-09-07T04:00:00Z,-3.981488
a1,2021-09-07T05:00:00Z,-5.212795
a1,2021-09-07T06:00:00Z,-4.423809
a1,2021-09-07T07:00:00Z,-4.686572
a1,2021-09-07T08:00:00Z,-4.793278
a1,2021-09-07T09:00:00Z,-5.853979
a1,2021-09-07T10:00:00Z,-6.375620
a1,2021-09-07T11:00:00Z,-6.063641
a1,2021-09-07T12:00:00Z,-7.869074
a1,2021-09-07T13:00:00Z,-8.313885
a1,2021-09-07T14:00:00Z,-8.859154
a1,2021-09-07T15:00:00Z,-9.151543
a1,2021-09-07T16:00:00Z,-9.203787
a1,2021-09-07T17:00:00Z,-9.776535
a1,2021-09-07T18:00:00Z,-9.136964
a1,2021-09-07T19:00:00Z,-9.637880
a1,2021-09-07T20:00:00Z,-9.648244
a1,2021-09-07T21:00:00Z,-7.716103
a1,2021-09-07T22:00:00Z,-7.427555
a1,2021-09-07T23:00:00Z,-6.430234
a1,2021-09-08T00:00:00Z,-6.235983
a1,2021-09-08T01:00:00Z,-5.430376
a1,2021-09-08T02:00:00Z,-4.516505
a1,2021-09-08T03:00:00Z,-4.400122
a1,2021-09-08T04:00:00Z,-3.855094
a1,2021-09-08T05:00:00Z,-4.022602
a1,2021-09-08T06:00:00Z,-3.665124
a1,2021-09-08T07:00:00Z,-3.767189
a1,2021-09-08T08:00:00Z,-5.767388
a1,2021-09-08T09:00:00Z,-5.124624
a1,2021-09-08T10:00:00Z,-5.899671
a1,2021-09-08T11:00:00Z,-6.807573
a1,2021-09-08T12:00:00Z,-7.294511
a1,2021-09-08T13:00:00Z,-8.435275
a1,2021-09-08T14:00:00Z,-8.987711
a1,2021-09-08T15:00:00Z,-8.757346
a1,2021-09-08T16:00:00Z,-8.961743
a1,2021-09-08T17:00:00Z,-8.766288
a1,2021-09-08T18:00:00Z,-9.474881
a1,2021-09-08T19:00:00Z,-9.345249
a1,2021-09-08T20:00:00Z,-8.867404
a1,2021-09-08T21:00:00Z,-7.923011
a1,2021-09-08T22:00:00Z,-7.584546
a1,2021-09-08T23:00:00Z,-7.143555
a1,2021-09-09T00:00:00Z,-6.018620
a1,2021-09-09T01:00:00Z,-4.166603
a1,2021-09-09T02:00:00Z,-4.192782
a1,2021-09-09T03:00:00Z,-4.405809
a1,2021-09-09T04:00:00Z,-4.717042
a1,2021-09-09T05:00:00Z,-4.007047
a1,2021-09-09T06:00:00Z,-3.658583
a1,2021-09-09T07:00:00Z,-3.989247
a1,2021-09-09T08:00:00Z,-4.793908
a1,2021-09-09T09:00:00Z,-5.603067
a1,2021-09-09T10:00:00Z,-6.245720
a1,2021-09-09T11:00:00Z,-7.013808
a1,2021-09-09T12:00:00Z,-8.831518
a1,2021-09-09T13:00:00Z,-8.748800
a1,2021-09-09T14:00:00Z,-9.244415
a1,2021-09-09T15:00:00Z,-9.745170
a1,2021-09-09T16:00:00Z,-9.716177
a1,2021-09-09T17:00:00Z,-10.123808
a1,2021-09-09T18:00:00Z,-9.692075
a1,2021-09-09T19:00:00Z,-9.964606
a1,2021-09-09T20:00:00Z,-8.629936
a1,2021-09-09T21:00:00Z,-8.289309
a1,2021-09-09T22:00:00Z,-7.937667
a1,2021-09-09T23:00:00Z,-6.592054
a1,2021-09-10T00:00:00Z,-5.271495
a1,2021-09-10T01:00:00Z,-4.452026
a1,2021-09-10T02:00:00Z,-4.380232
a1,2021-09-10T03:00:00Z,-4.103668
a1,2021-09-10T04:00:00Z,-3.429179
a1,2021-09-10T05:00:00Z,-4.488073
a1,2021-09-10T06:00:00Z,-3.747939
a1,2021-09-10T07:00:00Z,-4.824293
a1,2021-09-10T08:00:00Z,-4.053608
a1,2021-09-10T09:00:00Z,-5.722187
a1,2021-09-10T10:00:00Z,-6.925957
a1,2021-09-10T11:00:00Z,-6.943569
a1,2021-09-10T12:00:00Z,-8.318620
a1,2021-09-10T13:00:00Z,-8.913825
a1,2021-09-10T14:00:00Z,-9.301725
a1,2021-09-10T15:00:00Z,-8.532191
a1,2021-09-10T16:00:00Z,-9.182306
a1,2021-09-10T17:00:00Z,-9.630977
a1,2021-09-10T18:00:00Z,-9.392312
a1,2021-09-10T19:00:00Z,-9.430768
a1,2021-09-10T20:00:00Z,-8.669232
a1,2021-09-10T21:00:00Z,-7.929527
a1,2021-09-10T22:00:00Z,-8.280129
a1,2021-09-10T23:00:00Z,-8.189692
a1,2021-09-11T00:00:00Z,-5.655339
a1,2021-09-11T01:00:00Z,-6.269024
a1,2021-09-11T02:00:00Z,-5.166727
a1,2021-09-11T03:00:00Z,-4.076129
a1,2021-09-11T04:00:00Z,-4.318089
a1,2021-09-11T05:00:00Z,-3.207558
a1,2021-09-11T06:00:00Z,-4.743752
a1,2021-09-11T07:00:00Z,-3.972706
a1,2021-09-11T08:00:00Z,-5.740510
a1,2021-09-11T09:00:00Z,-5.837482
a1,2021-09-11T10:00:00Z,-5.543828
a1,2021-09-11T11:00:00Z,-7.457266
a1,2021-09-11T12:00:00Z,-8.197232
a1,2021-09-11T13:00:00Z,-8.138816
a1,2021-09-11T14:00:00Z,-8.785077
a1,2021-09-11T15:00:00Z,-9.361072
a1,2021-09-11T16:00:00Z,-9.703820
a1,2021-09-11T17:00:00Z,-9.579051
a1,2021-09-11T18:00:00Z,-9.270444
a1,2021-09-11T19:00:00Z,-9.039928
a1,2021-09-11T20:00:00Z,-8.334085
a1,2021-09-11T21:00:00Z,-7.184463
a1,2021-09-11T22:00:00Z,-6.994982
a1,2021-09-11T23:00:00Z,-7.297942
a1,2021-09-12T00:00:00Z,-6.134846
a1,2021-09-12T01:00:00Z,-5.158285
a1,2021-09-12T02:00:00Z,-5.459438
a1,2021-09-12T03:00:00Z,-4.190686
a1,2021-09-12T04:00:00Z,-3.015555
a1,2021-09-12T05:00:00Z,-4.038873
a1,2021-09-12T06:00:00Z,-4.126006
a1,2021-09-12T07:00:00Z,-4.166352
a1,2021-09-12T08:00:00Z,-5.130589
a1,2021-09-12T09:00:00Z,-5.210078
a1,2021-09-12T10:00:00Z,-5.019741
a1,2021-09-12T11:00:00Z,-6.536784
a1,2021-09-12T12:00:00Z,-7.474872
a1,2021-09-12T13:00:00Z,-9.290767
a1,2021-09-12T14:00:00Z,-9.692444
a1,2021-09-12T15:00:00Z,-9.224896
a1,2021-09-12T16:00:00Z,-10.429991
a1,2021-09-12T17:00:00Z,-9.872756
a1,2021-09-12T18:00:00Z,-9.586820
a1,2021-09-12T19:00:00Z,-10.224946
a1,2021-09-12T20:00:00Z,-9.046096
a1,2021-09-12T21:00:00Z,-8.650763
a1,2021-09-12T22:00:00Z,-7.949553
a1,2021-09-12T23:00:00Z,-6.360957
a1,2021-09-13T00:00:00Z,-6.688853
a1,2021-09-13T01:00:00Z,-6.272639
a1,2021-09-13T02:00:00Z,-4.631417
a1,2021-09-13T03:00:00Z,-4.798076
a1,2021-09-13T04:00:00Z,-4.281551
a1,2021-09-13T05:00:00Z,-3.579107
a1,2021-09-13T06:00:00Z,-4.098100
a1,2021-09-13T07:00:00Z,-4.433053
a1,2021-09-13T08:00:00Z,-4.254512
a1,2021-09-13T09:00:00Z,-4.999665
a1,2021-09-13T10:00:00Z,-5.669865
a1,2021-09-13T11:00:00Z,-6.950613
a1,2021-09-13T12:00:00Z,-7.074225
a1,2021-09-13T13:00:00Z,-8.430771
a1,2021-09-13T14:00:00Z,-8.752189
a1,2021-09-13T15:00:00Z,-10.006009
a1,2021-09-13T16:00:00Z,-10.385678
a1,2021-09-13T17:00:00Z,-10.172029
a1,2021-09-13T18:00:00Z,-10.522773
a1,2021-09-13T19:00:00Z,-10.087214
a1,2021-09-13T20:00:00Z,-9.580375
a1,2021-09-13T21:00:00Z,-8.026492
a1,2021-09-13T22:00:00Z,-8.005181
a1,2021-09-13T23:00:00Z,-6.874427
a1,2021-09-14T00:00:00Z,-6.107244
a1,2021-09-14T01:00:00Z,-5.577750
a1,2021-09-14T02:00:00Z,-4.786072
a1,2021-09-14T03:00:00Z,-4.484591
a1,2021-09-14T04:00:00Z,-4.118091
a1,2021-09-14T05:00:00Z,-3.157983
a1,2021-09-14T06:00:00Z,-4.464627
a1,2021-09-14T07:00:00Z,-3.220421
a1,2021-09-14T08:00:00Z,-4.009839
a1,2021-09-14T09:00:00Z,-5.359637
a1,2021-09-14T10:00:00Z,-5.509485
a1,2021-09-14T11:00:00Z,-6.789873
a1,2021-09-14T12:00:00Z,-7.723156
a1,2021-09-14T13:00:00Z,-8.426235
a1,2021-09-14T14:00:00Z,-8.921692
a1,2021-09-14T15:00:00Z,-8.986981
a1,2021-09-14T16:00:00Z,-9.568769
a1,2021-09-14T17:00:00Z,-10.102946
a1,2021-09-14T18:00:00Z,-9.130902
a1,2021-09-14T19:00:00Z,-9.724897
a1,2021-09-14T20:00:00Z,-9.270526
a1,2021-09-14T21:00:00Z,-8.416975
a1,2021-09-14T22:00:00Z,-7.675958
a1,2021-09-14T23:00:00Z,-7.050529
a1,2021-09-15T00:00:00Z,-6.225544
a1,2021-09-15T01:00:00Z,-5.208480
a1,2021-09-15T02:00:00Z,-4.729933
a1,2021-09-15T03:00:00Z,-4.388608
a1,2021-09-15T04:00:00Z,-4.143071
