id,time,value
p01,2018-11-01T00:00:00Z,-6.851368
p01,2018-11-01T01:00:00Z,-5.025685
p01,2018-11-01T02:00:00Z,-4.724760
p01,2018-11-01T03:00:00Z,-4.988502
p01,2018-11-01T04:00:00Z,-3.567598
p01,2018-11-01T05:00:00Z,-3.859041
p01,2018-11-01T06:00:00Z,-4.504562
p01,2018-11-01T07:00:00Z,-4.940891
p01,2018-11-01T08:00:00Z,-5.226580
p01,2018-11-01T09:00:00Z,-5.661942
p01,2018-11-01T10:00:00Z,-6.283619
p01,2018-11-01T11:00:00Z,-7.364149
p01,2018-11-01T12:00:00Z,-8.100980
p01,2018-11-01T13:00:00Z,-9.264290
p01,2018-11-01T14:00:00Z,-8.831515
p01,2018-11-01T15:00:00Z,-8.580641
p01,2018-11-01T16:00:00Z,-9.212327
p01,2018-11-01T17:00:00Z,-10.340935
p01,2018-11-01T18:00:00Z,-9.736344
p01,2018-11-01T19:00:00Z,-8.927112
p01,2018-11-01T20:00:00Z,-8.712711
p01,2018-11-01T21:00:00Z,-8.379723
p01,2018-11-01T22:00:00Z,-7.562253
p01,2018-11-01T23:00:00Z,-7.157912
p01,2018-11-02T00:00:00Z,-5.619405
p01,2018-11-02T01:00:00Z,-6.159179
p01,2018-11-02T02:00:00Z,-3.912792
p01,2018-11-02T03:00:00Z,-4.578264
p01,2018-11-02T04:00:00Z,-4.085010
p01,2018-11-02T05:00:00Z,-4.180938
p01,2018-11-02T06:00:00Z,-4.654079
p01,2018-11-02T07:00:00Z,-4.639054
p01,2018-11-02T08:00:00Z,-5.858912
p01,2018-11-02T09:00:00Z,-4.745589
p01,2018-11-02T10:00:00Z,-5.988471
p01,2018-11-02T11:00:00Z,-6.463987
p01,2018-11-02T12:00:00Z,-7.880135
p01,2018-11-02T13:00:00Z,-7.797133
p01,2018-11-02T14:00:00Z,-8.396743
p01,2018-11-02T15:00:00Z,-9.781439
p01,2018-11-02T16:00:00Z,-9.833386
p01,2018-11-02T17:00:00Z,-10.141025
p01,2018-11-02T18:00:00Z,-9.813890
p01,2018-11-02T19:00:00Z,-9.205822
p01,2018-11-02T20:00:00Z,-8.927351
p01,2018-11-02T21:00:00Z,-9.181717
p01,2018-11-02T22:00:00Z,-8.164722
p01,2018-11-02T23:00:00Z,-6.990996
p01,2018-11-03T00:00:00Z,-6.395075
p01,2018-11-03T01:00:00Z,-5.030732
p01,2018-11-03T02:00:00Z,-4.588271
p01,2018-11-03T03:00:00Z,-4.713987
p01,2018-11-03T04:00:00Z,-4.399179
p01,2018-11-03T05:00:00Z,-3.722172
p01,2018-11-03T06:00:00Z,-3.444668
p01,2018-11-03T07:00:00Z,-4.680236
p01,2018-11-03T08:00:00Z,-5.126848
p01,2018-11-03T09:00:00Z,-5.167385
p01,2018-11-03T10:00:00Z,-6.621317
p01,2018-11-03T11:00:00Z,-5.999480
p01,2018-11-03T12:00:00Z,-7.763415
p01,2018-11-03T13:00:00Z,-8.220981
p01,2018-11-03T14:00:00Z,-8.337504
p01,2018-11-03T15:00:00Z,-9.112992
p01,2018-11-03T16:00:00Z,-10.405353
p01,2018-11-03T17:00:00Z,-9.595507
p01,2018-11-03T18:00:00Z,-9.160774
p01,2018-11-03T19:00:00Z,-10.263317
p01,2018-11-03T20:00:00Z,-9.584801
p01,2018-11-03T21:00:00Z,-8.638055
p01,2018-11-03T22:00:00Z,-7.432561
p01,2018-11-03T23:00:00Z,-6.360470
p01,2018-11-04T00:00:00Z,-5.556401
p01,2018-11-04T01:00:00Z,-5.137377
p01,2018-11-04T02:00:00Z,-4.776209
p01,2018-11-04T03:00:00Z,-3.675083
p01,2018-11-04T04:00:00Z,-4.531371
p01,2018-11-04T05:00:00Z,-3.256762
p01,2018-11-04T06:00:00Z,-5.265653
p01,2018-11-04T07:00:00Z,-3.217337
