mechanism,grain,bins,variable,anchor,weight_ss,sigma,b0,b1
event,day,400,1,1,0.0416666666667,0.802147809901,-1.82588863145,1.34170987265
event,day,400,2,80,0.0416666666667,0.802147809901,-1.82588863145,1.34170987265
event,day,400,3,160,0.0416666666667,0.802147809901,-1.82588863145,1.34170987265
event,day,400,4,239,0.0416666666667,0.802147809901,-1.82588863145,1.34170987265
event,day,400,5,319,0.0416666666667,0.802147809901,-1.82588863145,1.34170987265
event,day,400,6,398,0.0416666666667,0.802147809901,-1.82588863145,1.34170987265
season,season,5,1,1,0.00137362637363,0.207375502762,-1.82588863145,1.34170987265
season,season,5,2,2,0.00138888888889,0.208498388995,-1.82588863145,1.34170987265
season,season,5,3,3,0.00135869565217,0.206270553059,-1.82588863145,1.34170987265
season,season,5,4,4,0.00135869565217,0.206270553059,-1.82588863145,1.34170987265
season,season,5,5,1,0.00137362637363,0.207375502762,-1.82588863145,1.34170987265
season,season,5,6,2,0.00138888888889,0.208498388995,-1.82588863145,1.34170987265
lag,week,58,1,2,0.00856001660583,0.474810312091,-1.82588863145,1.34170987265
lag,week,58,2,12,0.00856001660583,0.474810312091,-1.82588863145,1.34170987265
lag,week,58,3,23,0.00856001660583,0.474810312091,-1.82588863145,1.34170987265
lag,week,58,4,33,0.00856001660583,0.474810312091,-1.82588863145,1.34170987265
lag,week,58,5,44,0.00856001660583,0.474810312091,-1.82588863145,1.34170987265
lag,week,58,6,54,0.00856001660583,0.474810312091,-1.82588863145,1.34170987265
